"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/add_01_1000_4.smt2-cvc4.cnf","Splatz06vmain",12.272,1651.06571329114,2162.01653607543,12.51,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","glueminisat.2210.81.main",9.56,1842.91577879747,2234.7512701492,9.91,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","Glucose_nbSat",8.566,1899.29919989451,2224.69592534989,8.53,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","COMiniSatPSChandrasekharDRUP",9.901,1935.4132507384,2208.08774840899,9.86,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","glucose",7.679,1948.04899240506,2206.38617528577,7.86,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","gulch",15.624,1991.03030812236,2302.82827822062,15.71,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","glue_alt",7.106,2012.96278280591,2249.69083249275,7.62,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","glucose_hack_kiel_newScript",7.557,2103.46447004219,2209.37533638614,7.61,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","GHackCOMSPS_DRUP",6.74,2105.43643364979,2325.31324359847,6.71,6.74,0,0,0,0,"pred"
"sat/add_01_1000_4.smt2-cvc4.cnf","tc_glucose",7.996,2108.84239103375,2287.98649182459,8,6.74,0,0,0,0,"pred"
