"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/ak064paralbg2btaig.cnf","Riss6",113.054,1474.47893641457,2009.64336798797,111.95,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","Splatz06vmain",5000,2001.44355616246,1888.99169276083,5000,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","glucose",5000,2509.77794033614,1761.56908274394,5000,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","BeansAndEggs",5000,3220.75641442577,1676.86449306434,5000,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","Lingelingbbcmain",2.6,3896.50253809524,1899.4079041702,2.67,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","glueminisat.2210.81.main",5000,4001.77137198879,1804.54027574454,5000,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","glue_alt",5000,4023.14845308123,1800.66282079154,5000,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","cmsat5_main2",5000,4111.3278745098,1742.03444905778,5000,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","glucose_hack_kiel_newScript",5000,4152.95543529412,1725.15616710106,5000,2.6,0,0,0,0,"pred"
"sat/ak064paralbg2btaig.cnf","abcdSAT_drup",5000,4159.0112407563,1681.48723634379,5000,2.6,0,0,0,0,"pred"
