"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/modgen-n200-m90860q08c40-6967.cnf","MapleCOMSPS_LRB_DRUP",502.722,368.834893298969,1053.09070854502,534.62,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","MapleGlucose",5000,370.601383848797,1022.61897587531,5000,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","CHBR_glucose_tuned",363.719,511.056475429554,1301.62104726287,372.61,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","MapleCOMSPS_CHB_DRUP",1577.131,600.683672164948,1128.68494898776,1805.62,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","MapleCOMSPS_DRUP",3079.493,609.280097938144,1372.36564763725,5000,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","CHBR_glucose",218.643,633.393994158075,1261.35475390735,217.58,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","gulch",5000,754.010073883161,1554.2448497903,5000,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","GHackCOMSPS_DRUP",2973.539,817.96333556701,1633.01329166585,3281.12,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","Riss6",5000,932.721403951889,1738.48858017659,5000,218.643,0,0,0,0,"pred"
"sat/modgen-n200-m90860q08c40-6967.cnf","cmsat5_autotune2",535.662,959.007584707903,1727.30435469058,568.85,218.643,0,0,0,0,"pred"
