"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/snw_13_9_preOptEncpre.cnf","glucose_hack_kiel_newScript",0.717,195.183621988796,727.055945522791,0.77,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","CHBR_glucose",0.874,251.186271568627,902.611171934268,0.73,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","MapleCOMSPS_CHB_DRUP",0.767,323.278554061624,1127.03571537378,0.65,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","GHackCOMSPS_DRUP",0.487,337.08927605042,1007.48131666665,0.53,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","cmsat5_autotune2",1.399,346.200484453782,1107.01562329174,1.53,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","Lingelingbbcmain",2.479,353.612302240896,1026.02660916873,2.68,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","glue_alt",0.979,357.605568627451,1171.54879168312,0.98,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","tb_glucose",0.841,371.200200280112,974.404226507148,0.81,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","glucose",1.352,393.869066666667,1191.25730425125,1.3,0.487,0,0,0,0,"pred"
"sat/snw_13_9_preOptEncpre.cnf","Splatz06vmain",3.481,394.878817647059,994.840744494115,3.63,0.487,0,0,0,0,"pred"
