"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/sokoban-p20.sas.ex.11.cnf","MapleCOMSPS_CHB_DRUP",486.181,1861.20130267296,1594.64391057557,491.61,483.36,1,"491.61"
"sat/sokoban-p20.sas.ex.11.cnf","glucose_hack_kiel_newScript",483.36,2045.62896525157,1547.64515341676,486.63,483.36,2,"486.63"
"sat/sokoban-p20.sas.ex.11.cnf","Glucose_nbSat",499.685,2072.10604528302,1641.41707234195,502.4,483.36,3,"502.4"
"sat/sokoban-p20.sas.ex.11.cnf","cmsat5_main2",725.747,2108.92745613208,1396.70834170127,721.307586361127,483.36,1,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","glucose",502.226,2214.43009606918,1840.31876407116,501.86,483.36,2,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","MapleCOMSPS_LRB_DRUP",564.524,2364.01346556604,1629.36305039834,570.56,483.36,3,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","tc_glucose",577.821,2365.9189845912,1747.11351754476,581.03,483.36,1,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","Splatz06vmain",713.694,2384.91576698113,1398.77506912076,710.189808765277,483.36,2,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","abcdSAT_drup",585.603,2399.13214339622,1668.14239099911,590.68,483.36,3,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","tb_glucose",509.348,2415.21720455975,1737.07557556505,508.77,483.36,1,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","cmsat5_autotune2",773.935,2443.18417232705,1437.79777024485,771.693300635434,483.36,2,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","GHackCOMSPS_DRUP",566.044,2444.90155566038,1670.53786485161,565.82,483.36,3,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","CHBR_glucose_tuned",524.094,2456.1299322327,1694.04233143959,519.394151030961,483.36,1,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","Lingelingbbcmain",925.321,2567.24184103773,1740.40181020913,939.58,483.36,2,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","CHBR_glucose",515.06,2567.59296761006,1752.62896730886,521.91,483.36,3,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","MapleGlucose",684.371,2574.27197877358,1570.04862907667,682.598490951584,483.36,1,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","gulch",627.512,2576.44732327044,1632.79322997606,627.64,483.36,2,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","COMiniSatPSChandrasekharDRUP",511.85,2652.98337735849,1979.56737547906,523.2,483.36,3,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","glueminisat.2210.81.main",601.206,2751.98996446541,1695.62354137854,618.21,483.36,1,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","MapleCMS",1327.324,2933.86688553459,1539.23060231867,1322.72085964107,483.36,2,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","glue_alt",724.122,2964.29451745283,1782.14991056801,748.83,483.36,3,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","MapleCOMSPS_DRUP",628.059,3054.68076226415,1990.625734546,650.77,483.36,1,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","BeansAndEggs",1495.439,3710.96056965409,2035.63571698126,1492.90017688606,483.36,2,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","Riss6",5000,4340.92992264151,1583.95908569158,5000,483.36,3,"Inf"
"sat/sokoban-p20.sas.ex.11.cnf","YALSAT03r",5000,5000,0,5000,483.36,1,"Inf"
