"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/snw_13_9_CCSEncpre.cnf","gulch",1.284,107.827340927022,470.459005936709,1.28,1.284,1,"1.28"
"sat/snw_13_9_CCSEncpre.cnf","cmsat5_main2",8.241,119.344206607495,446.427663323534,8.12,1.284,2,"8.12"
"sat/snw_13_9_CCSEncpre.cnf","glucose",2.342,119.694428205128,436.339134894725,2.28,1.284,3,"2.28"
"sat/snw_13_9_CCSEncpre.cnf","BeansAndEggs",6.567,129.272964497041,548.778026863411,6.74,1.284,4,"6.74"
"sat/snw_13_9_CCSEncpre.cnf","MapleCOMSPS_DRUP",12.352,164.087051183432,654.76232565933,12.63,1.284,5,"12.63"
"sat/snw_13_9_CCSEncpre.cnf","GHackCOMSPS_DRUP",4.163,166.528064990138,739.015801725585,4.26,1.284,1,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","COMiniSatPSChandrasekharDRUP",4.054,183.574255226824,751.917223354082,3.99,1.284,2,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","Lingelingbbcmain",1.933,190.003398717949,730.37359079607,1.91,1.284,3,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","tc_glucose",4.177,192.305424358974,753.646931963619,4.43,1.284,4,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","cmsat5_autotune2",8.443,205.342315877712,794.500173287426,8.22,1.284,5,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","MapleCOMSPS_LRB_DRUP",3.726,206.894811143984,737.983016541021,3.87,1.284,1,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","Glucose_nbSat",7.817,207.389706804734,855.511917383379,7.73,1.284,2,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","CHBR_glucose",2.491,212.438098915187,878.193948288145,2.54,1.284,3,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","abcdSAT_drup",65.205,219.299599704142,785.622566371069,61.46,1.284,4,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","glucose_hack_kiel_newScript",1.592,235.527871203156,899.150429931964,1.44,1.284,5,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","glue_alt",5.668,240.041190828402,920.535379799162,5.85,1.284,1,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","MapleGlucose",7.616,242.27537938856,894.19173432008,7.66,1.284,2,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","MapleCMS",11.476,265.745200493097,843.247390241274,11.25,1.284,3,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","MapleCOMSPS_CHB_DRUP",9.617,274.457090729783,1030.4948214018,9.9,1.284,4,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","Splatz06vmain",7.72,275.598687080868,791.868126765774,7.95,1.284,5,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","tb_glucose",3.946,277.798165680473,929.994830177233,3.94,1.284,1,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","glueminisat.2210.81.main",12.09,280.526758185405,933.875534592358,12.02,1.284,2,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","CHBR_glucose_tuned",2.639,302.919683530572,1071.28954377584,2.5,1.284,3,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","Riss6",22.538,374.434538856016,1012.21291670448,22.73,1.284,4,"Inf"
"sat/snw_13_9_CCSEncpre.cnf","YALSAT03r",5000,5000,4.70708227573383e-13,5000,1.284,5,"Inf"
