"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/sokoban-p09.sas.cr.25.cnf","MapleCMS",0.87,1096.95313937909,1718.22481712888,0.66,0.186,1,"0.66"
"sat/sokoban-p09.sas.cr.25.cnf","cmsat5_main2",0.835,1150.69247924837,1865.14119273585,0.57,0.186,2,"0.57"
"sat/sokoban-p09.sas.cr.25.cnf","GHackCOMSPS_DRUP",0.288,1272.59632075163,1814.44344478902,0.19,0.186,3,"0.19"
"sat/sokoban-p09.sas.cr.25.cnf","glue_alt",0.398,1368.74201078431,1898.4082087041,0.26,0.186,4,"0.26"
"sat/sokoban-p09.sas.cr.25.cnf","MapleCOMSPS_DRUP",0.269,1380.47211486928,1962.91775476487,0.18,0.186,5,"0.18"
"sat/sokoban-p09.sas.cr.25.cnf","abcdSAT_drup",0.651,1420.28515735294,2007.24979185737,0.48,0.186,6,"0.48"
"sat/sokoban-p09.sas.cr.25.cnf","Lingelingbbcmain",1.2,1456.27889281046,2009.60400902825,1.15,0.186,1,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","MapleCOMSPS_CHB_DRUP",0.264,1467.65828169935,1943.87798793105,0.19,0.186,2,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","Glucose_nbSat",0.223,1517.75949460784,1992.06627001148,0.23,0.186,3,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","glueminisat.2210.81.main",0.209,1538.70728643791,2038.25569673821,0.21,0.186,4,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","CHBR_glucose_tuned",0.31,1544.6973872549,2011.51962512695,0.21,0.186,5,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","CHBR_glucose",0.298,1583.23850441177,2070.40046677879,0.2,0.186,6,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","MapleGlucose",0.322,1597.52031895425,2125.46225573989,0.22,0.186,1,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","COMiniSatPSChandrasekharDRUP",0.187,1607.1976995098,2051.8473525931,0.17,0.186,2,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","MapleCOMSPS_LRB_DRUP",0.271,1641.14678186275,1944.43487866885,0.18,0.186,3,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","BeansAndEggs",0.281,1671.76714640523,2122.00723946172,0.27,0.186,4,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","Splatz06vmain",1.086,1680.62798235294,1937.10997847204,1.04,0.186,5,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","glucose_hack_kiel_newScript",0.186,1705.5018869281,2150.54313435421,0.18,0.186,6,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","glucose",0.216,1731.43743839869,1949.23124244665,0.21,0.186,1,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","gulch",0.388,1760.27376633987,2018.31738952457,0.28,0.186,2,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","tc_glucose",0.249,1800.3011879085,2132.25926874674,0.26,0.186,3,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","cmsat5_autotune2",0.717,1905.95428137255,2100.67258813103,0.58,0.186,4,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","tb_glucose",0.271,1910.61166797386,2176.56065342698,0.2,0.186,5,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","Riss6",13.417,2723.39761437909,2196.22363514661,13.41,0.186,6,"Inf"
"sat/sokoban-p09.sas.cr.25.cnf","YALSAT03r",5000,4853.37545098039,771.308243743849,5000,0.186,1,"Inf"
