"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","Glucose_nbSat",221.26,1193.97604827044,1619.49601822638,260.45,104.143,1,"260.45"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","BeansAndEggs",223.602,1411.45512311321,1824.35545304316,242.37,104.143,2,"242.37"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","MapleCOMSPS_LRB_DRUP",173.613,1538.27262814465,1961.30452955205,174.53,104.143,3,"174.53"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","glueminisat.2210.81.main",247.497,1551.97683600629,1896.94150660125,288.93,104.143,4,"288.93"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","CHBR_glucose",177.025,1561.65554213837,1918.17649605463,179.41,104.143,5,"179.41"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","GHackCOMSPS_DRUP",210.192,1579.94860534591,1856.72429787398,233.84,104.143,6,"233.84"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","tb_glucose",153.616,1614.86406933962,1945.76491853918,158.15,104.143,7,"158.15"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","Splatz06vmain",104.143,1632.21812908805,1902.97842078192,118.04,104.143,1,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","cmsat5_autotune2",218.858,1650.94090518868,1831.45195400553,235.46,104.143,2,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","gulch",201.317,1661.29958820755,1949.48351834182,227.41,104.143,3,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","tc_glucose",157.603,1679.88047845912,1968.0135553605,164.45,104.143,4,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","COMiniSatPSChandrasekharDRUP",233.295,1708.70965738994,2005.02363493258,263.64,104.143,5,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","MapleCOMSPS_CHB_DRUP",164.502,1710.03372154088,2030.35484543084,180.4,104.143,6,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","CHBR_glucose_tuned",178.935,1720.96342075472,1938.09512937554,193.28,104.143,7,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","glucose",119.349,1751.42720393082,2015.60448605755,134.05,104.143,1,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","MapleCMS",544.631,1785.4467086478,1838.32362733065,568.37,104.143,2,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","abcdSAT_drup",168.497,1856.61210172956,1822.96637920061,168.93,104.143,3,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","Lingelingbbcmain",190.618,1913.41446242138,1960.94212486626,199.4,104.143,4,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","glucose_hack_kiel_newScript",251.307,2156.17884559748,2092.93721903138,256.28,104.143,5,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","cmsat5_main2",233.212,2325.65026572327,2166.16585459889,230.55,104.143,6,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","glue_alt",520.626,2358.0473240566,2065.04085214803,543.62,104.143,7,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","MapleCOMSPS_DRUP",2612.763,3012.2821422956,1470.36212345674,2610.66253688046,104.143,1,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","MapleGlucose",3291.044,3622.97034449686,1334.38363947176,3361.62,104.143,2,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","Riss6",2849.74,4476.39580691824,1332.48106700552,3035.26,104.143,3,"Inf"
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf","YALSAT03r",5000,5000,0,5000,104.143,4,"Inf"
