"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/snw_13_8_CCSpreOptpre.cnf","BeansAndEggs",29.093,333.914871893491,870.171164763849,28.91,23.195,1,"28.91"
"sat/snw_13_8_CCSpreOptpre.cnf","Glucose_nbSat",28.111,430.283568343195,1133.08387273285,28.25,23.195,2,"28.25"
"sat/snw_13_8_CCSpreOptpre.cnf","abcdSAT_drup",30.523,496.143416962525,1151.9789374148,28.95,23.195,3,"28.95"
"sat/snw_13_8_CCSpreOptpre.cnf","COMiniSatPSChandrasekharDRUP",23.195,514.117332149901,1285.10355089942,22.35,23.195,4,"22.35"
"sat/snw_13_8_CCSpreOptpre.cnf","CHBR_glucose_tuned",28.082,542.705183136095,1339.21995778905,28.76,23.195,5,"28.76"
"sat/snw_13_8_CCSpreOptpre.cnf","gulch",27.439,558.526226528599,1348.0337209789,27.28,23.195,6,"27.28"
"sat/snw_13_8_CCSpreOptpre.cnf","cmsat5_main2",46.177,570.368131459566,1302.70323422715,46.21,23.195,7,"46.21"
"sat/snw_13_8_CCSpreOptpre.cnf","MapleCMS",67.684,611.041428895463,1284.06017185031,67.41,23.195,1,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","MapleGlucose",40.799,637.083400690335,1426.81397730526,40.78,23.195,2,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","glucose",24.8,704.310451084813,1426.47247131422,24.69,23.195,3,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","MapleCOMSPS_CHB_DRUP",29.932,709.859781360948,1538.18390926256,30.53,23.195,4,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","tc_glucose",94.22,732.449938362919,1492.35300929061,93.69,23.195,5,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","GHackCOMSPS_DRUP",27.105,736.720378205128,1536.65573758537,26.66,23.195,6,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","glue_alt",27.298,744.755247337278,1482.80008160666,27.19,23.195,7,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","MapleCOMSPS_DRUP",46.27,755.57990285996,1599.73412868095,46.83,23.195,1,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","MapleCOMSPS_LRB_DRUP",33.542,757.411728500986,1585.97504428905,34.23,23.195,2,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","cmsat5_autotune2",44.89,794.136405424063,1598.6605714985,46.89,23.195,3,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","CHBR_glucose",42.689,819.648680473373,1602.74475355801,42.94,23.195,4,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","tb_glucose",27.497,827.069493392506,1617.61697865694,27.52,23.195,5,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","glucose_hack_kiel_newScript",27.993,830.115822879685,1676.5485155558,28.24,23.195,6,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","Splatz06vmain",101.009,904.53164714004,1489.97310975785,105.2,23.195,7,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","glueminisat.2210.81.main",41.873,943.469933234715,1662.96051536854,41.75,23.195,1,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","Lingelingbbcmain",90.026,981.139783826429,1709.42615169587,89.91,23.195,2,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","Riss6",189.205,1342.89735769231,1838.44572574538,193.04,23.195,3,"Inf"
"sat/snw_13_8_CCSpreOptpre.cnf","YALSAT03r",5000,5000,4.81054699332575e-13,5000,23.195,4,"Inf"
