"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/g250.29.cnf","tc_glucose",5000,2527.23524672996,2010.31419977491,5000,8.67,1,"Inf"
"sat/g250.29.cnf","tb_glucose",5000,2466.54203101266,2132.6483870576,5000,8.67,2,"Inf"
"sat/g250.29.cnf","Riss6",5000,2504.67562025316,2144.44895334101,5000,8.67,3,"Inf"
"sat/g250.29.cnf","glucose_hack_kiel_newScript",5000,2581.38703312236,2134.13527952465,5000,8.67,4,"Inf"
"sat/g250.29.cnf","Splatz06vmain",5000,2628.91891983122,2139.57851098884,5000,8.67,5,"Inf"
"sat/g250.29.cnf","glucose",5000,2726.5817714135,2097.88674599892,5000,8.67,6,"Inf"
"sat/g250.29.cnf","glueminisat.2210.81.main",5000,2727.72272911393,2106.70967418989,5000,8.67,7,"Inf"
"sat/g250.29.cnf","BeansAndEggs",5000,2777.20316402954,2086.72022512203,5000,8.67,8,"Inf"
"sat/g250.29.cnf","Lingelingbbcmain",5000,2806.91701951477,2079.34959484458,5000,8.67,9,"Inf"
"sat/g250.29.cnf","COMiniSatPSChandrasekharDRUP",5000,2840.19672394515,2053.49587539013,5000,8.67,10,"Inf"
"sat/g250.29.cnf","GHackCOMSPS_DRUP",5000,2825.62461202532,2102.38847556584,5000,8.67,1,"Inf"
"sat/g250.29.cnf","Glucose_nbSat",5000,2892.49293016878,2036.82806461445,5000,8.67,2,"Inf"
"sat/g250.29.cnf","CHBR_glucose_tuned",5000,2864.65475537975,2078.67880789102,5000,8.67,3,"Inf"
"sat/g250.29.cnf","glue_alt",5000,2899.12160274262,2073.35759195712,5000,8.67,4,"Inf"
"sat/g250.29.cnf","MapleCOMSPS_DRUP",5000,2868.09132194093,2151.97563377887,5000,8.67,5,"Inf"
"sat/g250.29.cnf","CHBR_glucose",5000,2999.34826350211,2022.88190515069,5000,8.67,6,"Inf"
"sat/g250.29.cnf","MapleCOMSPS_CHB_DRUP",5000,3010.36030168777,2049.89589565676,5000,8.67,7,"Inf"
"sat/g250.29.cnf","gulch",5000,3005.94583185654,2076.3853733276,5000,8.67,8,"Inf"
"sat/g250.29.cnf","MapleCMS",5000,2990.4989414557,2123.00829399495,5000,8.67,9,"Inf"
"sat/g250.29.cnf","abcdSAT_drup",5000,3010.68831824895,2106.8042686808,5000,8.67,10,"Inf"
"sat/g250.29.cnf","MapleGlucose",5000,3121.86060632911,2020.23315323227,5000,8.67,1,"Inf"
"sat/g250.29.cnf","MapleCOMSPS_LRB_DRUP",5000,3110.84070727848,2049.85529441323,5000,8.67,2,"Inf"
"sat/g250.29.cnf","cmsat5_main2",5000,3035.55596234177,2145.53533543447,5000,8.67,3,"Inf"
"sat/g250.29.cnf","cmsat5_autotune2",5000,3095.50703312236,2153.03875769289,5000,8.67,4,"Inf"
"sat/g250.29.cnf","YALSAT03r",8.67,3119.66228333333,2170.26908823747,8.37,8.67,5,"Inf"
