"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/miza-sr06-md5-48-01.cnf","GHackCOMSPS_DRUP",353.395,1249.03840353535,1556.15290862981,403.26,46.306,1,"403.26"
"sat/miza-sr06-md5-48-01.cnf","glucose",2057.102,1348.22340378788,1704.93592800171,2358.06,46.306,2,"2358.06"
"sat/miza-sr06-md5-48-01.cnf","Glucose_nbSat",522.024,1383.07264709596,1699.3112656921,629.34,46.306,3,"629.34"
"sat/miza-sr06-md5-48-01.cnf","glucose_hack_kiel_newScript",113.511,1453.80238825758,1716.97909101523,128.56,46.306,4,"128.56"
"sat/miza-sr06-md5-48-01.cnf","CHBR_glucose_tuned",1013.781,1515.96222361111,1693.64614267683,1173.58,46.306,5,"1173.58"
"sat/miza-sr06-md5-48-01.cnf","Splatz06vmain",964.722,1434.86020353535,1801.73943462407,1142.98,46.306,6,"1142.98"
"sat/miza-sr06-md5-48-01.cnf","MapleCOMSPS_DRUP",229.511,1357.82601856061,1892.59348446063,256.44,46.306,7,"256.44"
"sat/miza-sr06-md5-48-01.cnf","cmsat5_main2",47.447,1501.52104090909,1818.29276710741,49.66,46.306,8,"49.66"
"sat/miza-sr06-md5-48-01.cnf","tb_glucose",70.012,1898.55689242424,1514.1173336344,78.85,46.306,9,"78.85"
"sat/miza-sr06-md5-48-01.cnf","tc_glucose",71.594,1866.80343863636,1585.33227957588,82.78,46.306,10,"82.78"
"sat/miza-sr06-md5-48-01.cnf","cmsat5_autotune2",46.306,1599.09063623738,1884.32799923721,52.57,46.306,1,"Inf"
"sat/miza-sr06-md5-48-01.cnf","gulch",1062.147,1730.57852487374,1780.45413370205,1328.75,46.306,2,"Inf"
"sat/miza-sr06-md5-48-01.cnf","abcdSAT_drup",264.934,1720.11444419192,1890.93572108286,283.6,46.306,3,"Inf"
"sat/miza-sr06-md5-48-01.cnf","MapleCOMSPS_LRB_DRUP",1587.578,2174.98627550505,1449.83176329174,1947.43,46.306,4,"Inf"
"sat/miza-sr06-md5-48-01.cnf","COMiniSatPSChandrasekharDRUP",1159.767,2009.08797613636,1784.05322264317,1302.68,46.306,5,"Inf"
"sat/miza-sr06-md5-48-01.cnf","BeansAndEggs",2087.254,1991.85460467172,1868.24765082266,2404.5,46.306,6,"Inf"
"sat/miza-sr06-md5-48-01.cnf","CHBR_glucose",1029.822,1963.9200905303,1905.98530986215,1159.21,46.306,7,"Inf"
"sat/miza-sr06-md5-48-01.cnf","glueminisat.2210.81.main",3672.99,2473.63664886364,1409.47894949826,4588.04,46.306,8,"Inf"
"sat/miza-sr06-md5-48-01.cnf","MapleCMS",939.33,1868.72840454545,2102.38363544777,1045.78,46.306,9,"Inf"
"sat/miza-sr06-md5-48-01.cnf","glue_alt",255.812,2329.06199810606,1652.99192663851,302.1,46.306,10,"Inf"
"sat/miza-sr06-md5-48-01.cnf","MapleGlucose",3124.316,2224.90824810606,1827.61195493615,3120.3143570537,46.306,1,"Inf"
"sat/miza-sr06-md5-48-01.cnf","MapleCOMSPS_CHB_DRUP",5000,3216.79240025253,1331.75109627456,5000,46.306,2,"Inf"
"sat/miza-sr06-md5-48-01.cnf","Riss6",4009.215,3160.84597449495,1501.58522434095,4461.72,46.306,3,"Inf"
"sat/miza-sr06-md5-48-01.cnf","Lingelingbbcmain",3899.652,3687.08065782828,1331.10578927999,5000,46.306,4,"Inf"
"sat/miza-sr06-md5-48-01.cnf","YALSAT03r",5000,4744.25332954545,1057.67720569397,5000,46.306,5,"Inf"
