"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/snw_13_8_CCSpreOptEncpre.cnf","MapleCOMSPS_DRUP",58.033,607.343787763713,1251.62823646912,60.71,22.963,1,"60.71"
"sat/snw_13_8_CCSpreOptEncpre.cnf","glucose",28.946,760.453679957806,1212.03607677442,29.82,22.963,2,"29.82"
"sat/snw_13_8_CCSpreOptEncpre.cnf","gulch",40.791,809.965593248945,1279.18431869258,43.34,22.963,3,"43.34"
"sat/snw_13_8_CCSpreOptEncpre.cnf","BeansAndEggs",22.963,766.976833860759,1347.93165056106,24.3,22.963,4,"24.3"
"sat/snw_13_8_CCSpreOptEncpre.cnf","COMiniSatPSChandrasekharDRUP",29.664,731.461796202532,1396.21691964093,30.98,22.963,1,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","MapleCOMSPS_LRB_DRUP",48.758,721.342806962025,1453.49589313534,49.01,22.963,2,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","Glucose_nbSat",32.302,740.857000527426,1562.99034289829,34.21,22.963,3,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","cmsat5_main2",56.204,815.153294198312,1495.37053378381,56.51,22.963,4,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","abcdSAT_drup",39.262,798.622463185654,1538.30165075833,37.96,22.963,1,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","CHBR_glucose",26.509,817.796700316456,1536.97518383658,27.75,22.963,2,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","tb_glucose",32.051,831.492403375527,1527.13308731744,33.08,22.963,3,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","glucose_hack_kiel_newScript",33.462,886.200308438818,1635.41180951296,35.01,22.963,4,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","CHBR_glucose_tuned",26.427,850.60657056962,1676.89134060992,28.11,22.963,1,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","glueminisat.2210.81.main",44.94,945.003484282701,1619.4587341185,48,22.963,2,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","MapleCMS",90.702,1021.21256613924,1549.89828993445,94.46,22.963,3,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","tc_glucose",32.369,1060.64826118143,1568.24025883068,33.46,22.963,4,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","cmsat5_autotune2",55.43,952.298209388186,1734.46763956415,56.14,22.963,1,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","glue_alt",31.301,1029.67738259494,1667.29006824065,31.16,22.963,2,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","MapleCOMSPS_CHB_DRUP",44.737,971.62005221519,1747.86693863751,47.26,22.963,3,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","GHackCOMSPS_DRUP",32.322,995.969485021097,1769.83368828866,33.78,22.963,4,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","Lingelingbbcmain",74.707,1075.42678628692,1725.79293372465,75.43,22.963,1,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","MapleGlucose",59.456,1107.13263280591,1745.32418347224,65.34,22.963,2,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","Riss6",151.653,1139.39764156118,1773.44449125328,152.23,22.963,3,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","Splatz06vmain",62.308,1387.27211381857,1766.47889490509,67.43,22.963,4,"Inf"
"sat/snw_13_8_CCSpreOptEncpre.cnf","YALSAT03r",5000,5000,4.92299350813827e-13,5000,22.963,1,"Inf"
