"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","MapleCOMSPS_LRB_DRUP",5000,2638.0999979798,2245.69621651464,5000,5000,1,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","YALSAT03r",5000,5000,0,5000,5000,2,"5000"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","tc_glucose",5000,3018.19374507576,2124.78959022056,5000,5000,3,"5000"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","MapleCMS",5000,3018.31054873737,2131.02498310245,5000,5000,4,"5000"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","MapleGlucose",5000,3068.88071464646,2086.4559030371,5000,5000,5,"5000"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","MapleCOMSPS_DRUP",5000,3056.54299671717,2098.81931060244,5000,5000,1,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","cmsat5_autotune2",5000,2988.85394141414,2173.06411693102,5000,5000,2,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","cmsat5_main2",5000,3163.41870707071,2094.93304058801,5000,5000,3,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","abcdSAT_drup",5000,3091.86394494949,2195.04842686243,5000,5000,4,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","glucose_hack_kiel_newScript",5000,3119.19521792929,2171.90048027355,5000,5000,5,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","MapleCOMSPS_CHB_DRUP",5000,3110.38500151515,2181.45746793405,5000,5000,1,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","Splatz06vmain",5000,3259.04011010101,2063.9335540703,5000,5000,2,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","Lingelingbbcmain",5000,3238.08814861111,2086.84010609149,5000,5000,3,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","GHackCOMSPS_DRUP",5000,3149.28906654041,2180.24201548484,5000,5000,4,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","tb_glucose",5000,3235.51865214646,2111.50414642213,5000,5000,5,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","CHBR_glucose",5000,3264.42199154041,2089.32584797812,5000,5000,1,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","Glucose_nbSat",5000,3184.51345871212,2202.89236069923,5000,5000,2,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","BeansAndEggs",5000,3314.82189179293,2096.20853046663,5000,5000,3,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","gulch",5000,3296.31958270202,2138.77767301104,5000,5000,4,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","CHBR_glucose_tuned",5000,3234.72617714646,2206.33938450182,5000,5000,5,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","COMiniSatPSChandrasekharDRUP",5000,3293.91212550505,2163.87292718382,5000,5000,1,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","glue_alt",5000,3455.69493787879,2053.87497100142,5000,5000,2,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","glueminisat.2210.81.main",5000,3413.46501464646,2115.03087650246,5000,5000,3,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","glucose",5000,3724.78436666667,1965.48303186235,5000,5000,4,"Inf"
"sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf","Riss6",5000,4039.74753926768,1840.51757081366,5000,5000,5,"Inf"
