"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/add_01_1000_4.smt2-cvc4.cnf","Splatz06vmain",12.272,1651.06571329114,2162.01653607543,5000,6.74,1,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","glueminisat.2210.81.main",9.56,1842.91577879747,2234.7512701492,9.38,6.74,2,"9.38"
"sat/add_01_1000_4.smt2-cvc4.cnf","Glucose_nbSat",8.566,1899.29919989451,2224.69592534989,8.36,6.74,3,"8.36"
"sat/add_01_1000_4.smt2-cvc4.cnf","COMiniSatPSChandrasekharDRUP",9.901,1935.4132507384,2208.08774840899,9.93,6.74,4,"9.93"
"sat/add_01_1000_4.smt2-cvc4.cnf","glucose",7.679,1948.04899240506,2206.38617528577,7.96,6.74,5,"7.96"
"sat/add_01_1000_4.smt2-cvc4.cnf","glue_alt",7.106,2012.96278280591,2249.69083249275,7.07,6.74,6,"7.07"
"sat/add_01_1000_4.smt2-cvc4.cnf","gulch",15.624,1991.03030812236,2302.82827822062,15.59,6.74,7,"15.59"
"sat/add_01_1000_4.smt2-cvc4.cnf","glucose_hack_kiel_newScript",7.557,2103.46447004219,2209.37533638614,7.64,6.74,1,"3820.72224936657"
"sat/add_01_1000_4.smt2-cvc4.cnf","tb_glucose",7.49,2140.90558080169,2228.55923590981,6.99,6.74,2,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","tc_glucose",7.996,2108.84239103375,2287.98649182459,7.58,6.74,3,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","GHackCOMSPS_DRUP",6.74,2105.43643364979,2325.31324359847,6.76,6.74,4,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","abcdSAT_drup",7.384,2204.31738196203,2272.88688258587,7.62,6.74,5,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","MapleGlucose",19.085,2179.64273206751,2302.91518404745,19.17,6.74,6,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","cmsat5_autotune2",13.025,2175.62557035865,2324.88891604383,13.26,6.74,7,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","cmsat5_main2",15.371,2261.55905,2376.99201260682,13.53,6.74,1,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","MapleCOMSPS_LRB_DRUP",12.941,2356.61854883966,2286.7717389351,13.08,6.74,2,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","BeansAndEggs",10.939,2403.04014957806,2251.19758646419,11.72,6.74,3,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","MapleCOMSPS_CHB_DRUP",9.845,2321.18618966245,2388.59792849586,9.75,6.74,4,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","MapleCOMSPS_DRUP",20.77,2408.79617151899,2323.49947536846,19.74,6.74,5,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","CHBR_glucose_tuned",8.253,2455.04938175105,2332.7123050679,8.64,6.74,6,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","Lingelingbbcmain",10.692,2508.08520390295,2332.84928304988,10.58,6.74,7,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","MapleCMS",25.872,2579.06986265823,2275.2328199239,23.856553063384,6.74,1,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","Riss6",85.161,2690.22666824894,2285.91747877572,85.04,6.74,2,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","YALSAT03r",5000,5000,4.04139401669533e-13,5000,6.74,3,"Inf"
"sat/add_01_1000_4.smt2-cvc4.cnf","CHBR_glucose",7.919,3113.41870622363,2235.08812315047,8.41,6.74,4,"Inf"
