"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/modgen-n200-m90860q08c40-28046.cnf","MapleCOMSPS_LRB_DRUP",2.383,172.001782352941,506.098231798403,2.38,1.624,1,"2.38"
"sat/modgen-n200-m90860q08c40-28046.cnf","MapleGlucose",2.105,236.180544397759,675.859627258865,2.16,1.624,2,"2.16"
"sat/modgen-n200-m90860q08c40-28046.cnf","MapleCOMSPS_CHB_DRUP",1.647,268.840901540616,677.427627062273,1.65,1.624,3,"1.65"
"sat/modgen-n200-m90860q08c40-28046.cnf","MapleCOMSPS_DRUP",2.54,266.30916022409,752.568127434137,2.45,1.624,4,"2.45"
"sat/modgen-n200-m90860q08c40-28046.cnf","CHBR_glucose",2.669,305.530895098039,739.751143113506,2.71,1.624,5,"2.71"
"sat/modgen-n200-m90860q08c40-28046.cnf","CHBR_glucose_tuned",2.304,312.97842605042,828.694431620005,2.15,1.624,6,"2.15"
"sat/modgen-n200-m90860q08c40-28046.cnf","cmsat5_main2",2.541,399.801444817927,970.482223716854,2.4,1.624,7,"2.4"
"sat/modgen-n200-m90860q08c40-28046.cnf","cmsat5_autotune2",2.427,420.074250140056,1001.96699187005,2.41,1.624,1,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","gulch",2.106,382.313750280112,1098.37102872757,1.95,1.624,2,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","MapleCMS",3.165,575.027217647059,1056.00600912505,2.81,1.624,3,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","COMiniSatPSChandrasekharDRUP",1.773,772.35336372549,1334.91257229628,1.62,1.624,4,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","abcdSAT_drup",3.123,767.914750980392,1433.2555931098,1.46,1.624,5,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","BeansAndEggs",2.058,782.388603921569,1541.45743446528,1.9,1.624,6,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","Glucose_nbSat",1.859,863.044904061625,1609.2944184587,1.8,1.624,7,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","GHackCOMSPS_DRUP",1.774,938.622276190477,1739.08934753614,1.8,1.624,1,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","tb_glucose",1.662,1213.01274061625,2010.85069558778,1.54,1.624,2,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","glucose",1.63,1355.4484245098,1966.43849839188,1.56,1.624,3,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","glucose_hack_kiel_newScript",1.624,1456.69423977591,2114.4938900659,1.61,1.624,4,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","glue_alt",1.788,1635.29185546218,2076.71833198841,1.78,1.624,5,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","Lingelingbbcmain",3.187,1696.65652773109,2213.93796775891,3.16,1.624,6,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","glueminisat.2210.81.main",2.019,1708.21268795518,2260.92150126897,1.96,1.624,7,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","Riss6",10.099,2036.04828795518,2334.70854545088,10.21,1.624,1,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","Splatz06vmain",3.206,2056.02352969188,2359.17514016516,2.98,1.624,2,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","YALSAT03r",5000,2235.39414047619,2312.54177435713,5000,1.624,3,"Inf"
"sat/modgen-n200-m90860q08c40-28046.cnf","tc_glucose",4.37,2176.66388473389,2387.9475895864,4.35,1.624,4,"Inf"
