"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/e2_1.c.smt2-stp212.cnf","abcdSAT_drup",9.317,2440.3246085249,2321.27790254589,644.49,0.069,1,"644.49"
"sat/e2_1.c.smt2-stp212.cnf","glue_alt",0.314,2511.86268381226,2262.77217599758,388.35,0.069,2,"388.35"
"sat/e2_1.c.smt2-stp212.cnf","glueminisat.2210.81.main",0.515,2519.32359243295,2264.74507064015,2151.76,0.069,3,"2151.76"
"sat/e2_1.c.smt2-stp212.cnf","cmsat5_autotune2",0.764,2584.02596293103,2346.58119215343,773.1,0.069,4,"773.1"
"sat/e2_1.c.smt2-stp212.cnf","Splatz06vmain",0.069,2589.3987078544,2348.42034100861,0.07,0.069,5,"0.07"
"sat/e2_1.c.smt2-stp212.cnf","Lingelingbbcmain",0.72,2603.78382978927,2344.57668462589,0.822184576165892,0.069,6,"0.822184576165892"
"sat/e2_1.c.smt2-stp212.cnf","MapleCOMSPS_LRB_DRUP",0.369,2621.34051522988,2332.16629890225,363.24,0.069,7,"363.24"
"sat/e2_1.c.smt2-stp212.cnf","YALSAT03r",5000,5000,1.82947357914897e-13,5000,0.069,8,"5000"
"sat/e2_1.c.smt2-stp212.cnf","glucose",0.34,2854.34553831418,2246.59365250808,867.92,0.069,9,"867.92"
"sat/e2_1.c.smt2-stp212.cnf","CHBR_glucose_tuned",0.253,2807.72980134099,2312.54318864727,286.35,0.069,1,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","cmsat5_main2",0.642,2841.2712309387,2291.1862496495,2612.91,0.069,2,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","MapleGlucose",0.501,2819.24250574713,2316.99153079425,634.94,0.069,3,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","gulch",0.656,2772.5301052682,2392.46218952424,334.49,0.069,4,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","tb_glucose",0.25,2880.99942490421,2305.76794785892,4338.16,0.069,5,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","COMiniSatPSChandrasekharDRUP",0.502,2916.3821309387,2308.21224911168,308.61,0.069,6,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","CHBR_glucose",0.189,2948.9994782567,2306.69767040215,162.99,0.069,7,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","tc_glucose",0.326,2962.16101484674,2314.16460592124,0.231191552632452,0.069,8,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","BeansAndEggs",0.234,3119.47557327586,2259.07019516474,0.23,0.069,9,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","GHackCOMSPS_DRUP",0.227,3067.93998965517,2314.07922167779,43.57,0.069,1,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","glucose_hack_kiel_newScript",0.18,3105.76680517241,2318.24415252122,4687.84,0.069,2,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","Riss6",8.333,3201.10067768199,2268.33425674852,8.10949964052437,0.069,3,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","Glucose_nbSat",0.322,3186.34155517241,2288.42316556852,93.84,0.069,4,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","MapleCOMSPS_CHB_DRUP",0.551,3226.63603352491,2261.00286046594,165.16,0.069,5,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","MapleCMS",1.033,3337.06091590038,2159.87149354034,1284.26,0.069,6,"Inf"
"sat/e2_1.c.smt2-stp212.cnf","MapleCOMSPS_DRUP",0.509,3638.98503017241,2042.63506387948,236.49,0.069,7,"Inf"
