"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/20180322_164223076_p_cnf_320_1120.cnf","Sparrow2Riss.2018.fixfix",3.93,0.522958333333261,0.263387907304169,4.05,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","YalSAT",0.933,9.58011481481481,27.2553692687701,1.04,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","expMC_LRB_VSIDS_Switch_2500",5000,2272.06640833333,2150.52468723724,5000,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","COMiniSatPS_Pulsar_drup",5000,2782.40766481481,2152.62296835221,5000,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","Maple_LCM_Scavel_fix2",5000,2848.62011944444,1840.24532418077,5000,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","Minisat.v2.2.0.106.ge2dd095",5000,3094.22492685185,1662.29300795517,5000,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","glu_mix",5000,3645.21537777778,1445.56338228201,5000,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","Maple_CM_ordUIP.",296.995,4240.7746,1693.87580369629,5000,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","CaDiCaL",5000,4317.54305555555,1643.90731683527,5000,0.933,0,0,0,5,"pred"
"sat/20180322_164223076_p_cnf_320_1120.cnf","Glucose_Hack_Kiel_fastBVE",5000,5000,0,5000,0.933,0,0,0,5,"pred"
