"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/CNP-5-1000.cnf","Sparrow2Riss.2018.fixfix",1.967,1.78159848484855,0.213374768631693,1.91,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","YalSAT",4.719,16.205280151515,11.2460584822328,4.93,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","COMiniSatPS_Pulsar_drup",185.374,152.139893181818,243.559126964958,211.45,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","Maple_LCM_Scavel_200_fix2",469.935,377.39997530303,455.629115826738,5000,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","Maple_CM_ordUIP.",475.065,725.192945,791.422405373068,5000,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","MapleLCMDistChronoBT",523.088,786.572776969697,712.019805782411,5000,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","MapleCOMSPS_CHB_VSIDS_drup",2890.975,824.556165757576,1005.36287278644,5000,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","Maple_CM_ordUIP",482.385,875.554586212121,804.83771786856,5000,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","Maple_CM_Dist",195.214,1063.68665742424,1194.64140415247,219.71,1.967,0,0,0,5,"pred"
"sat/CNP-5-1000.cnf","GHackCOMSPS_drup",176.305,1281.36042348485,1446.43767362661,197.42,1.967,0,0,0,5,"pred"
