"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/exam0.04_2018_3.cnf","glu_mix",5000,926.640049090909,1297.7597428446,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","Glucose_Hack_Kiel_fastBVE",849.757,1311.07564424242,853.305398694784,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","MapleCOMSPS_LRB_VSIDS_drup",2855.339,1354.7708569697,732.779475751379,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","Riss7.1.fix",871.396,1360.50685,1082.25593806083,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","COMiniSatPS_Pulsar_drup",364.62,1739.36395757576,1136.65801463261,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","Maple_CM",2748.488,2107.71956318182,1099.41279330754,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","Maple_LCM.BCrestart",2603.45,2186.45459257576,1844.12766727226,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","Maple_LCM.BCrestart_M1",2566.31,2227.78840833333,1354.17309927988,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","Maple_CM_ordUIP",2607.85,2447.74148909091,1572.63333730907,5000,295.557,0,0,0,5,"pred"
"sat/exam0.04_2018_3.cnf","Maple_CM_ordUIP.",3318.78,2450.52640590909,1723.80621286751,3070.93,295.557,0,0,0,5,"pred"
