"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","MapleLCMDistChronoBT",487.792,145.56875,155.490080588211,5000,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","Maple_LCM_Scavel_fix2",262.333,150.685013111111,127.18857508728,311.89,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","Maple_LCM_M1",200.326,165.662955555556,150.906422881487,232.56,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","Maple_LCM_Scavel_200_fix2",681.413,173.847051777778,82.0228065561519,5000,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","Maple_CM",457.193,253.329639333333,283.245411011318,5000,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","Maple_CM_Dist",85.281,344.499393555556,264.652955649132,98.61,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","expMC_LRB_VSIDS_Switch_2500",469.839,368.672490222222,447.596393060648,5000,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",645.271,384.103471555556,476.135034802054,5000,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","abcdsat_r18",959.308,415.077358444445,547.358133709112,5000,85.281,0,0,0,5,"pred"
"sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf","YalSAT",5000,5000,0,5000,85.281,0,0,0,5,"pred"
