"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Sparrow2Riss.2018.fixfix",0.169,2.13778965517235,2.18060376285182,0.13,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","YalSAT",0.045,5.05930574712646,11.7267442188712,0.05,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Maple_CM_ordUIP.",5000,1821.10913218391,1527.38374316422,5000,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Maple_CM",5000,2622.30952586207,1889.26360320711,5000,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Maple_CM_ordUIP",5000,2735.20895172414,2170.70974420266,5000,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Maple_LCM_Scavel_fix2",2903.419,3090.09466149425,1822.78193631882,5000,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Maple_LCM.BCrestart",79.405,3176.04585747126,2148.77261011693,83.93,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Minisat.v2.2.0.106.ge2dd095",1830.241,3488.72137528736,1992.35477176233,5000,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Maple_LCM.BCrestart_M1",5000,3706.42445229885,1959.44535916,5000,0.045,0,0,0,0,"pred"
"sat/20180321_140823961_p_cnf_320_1120.cnf","Lingeling",5000,4015.39692758621,1379.6776340099,5000,0.045,0,0,0,0,"pred"
