"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","abcdsat_r18",527.188,38.0410965517242,47.3817358852222,5000,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","cms55.main.all4fixed",147.603,91.6017827586208,82.1783451019205,173,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","Maple_LCM.BCrestart_M1",83.465,105.875845402299,94.5718085531368,95.73,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","Maple_LCM_M1",83.513,107.318627586207,68.3422773739358,93.29,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","Maple_LCM_Scavel_fix2",108.433,131.375404597701,168.287029060655,120.82,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","MapleLCMDistChronoBT",80.839,131.402847126437,106.720618380461,91.83,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","Maple_LCM.BCrestart",227.752,141.654342528736,112.958394032158,5000,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","Maple_CM_Dist",216.879,165.886284482759,171.623880132903,247.62,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","expMC_LRB_VSIDS_Switch_2500",201.671,194.789290804598,134.517740982125,223.5,54.047,0,0,0,0,"pred"
"sat/cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf","Maple_LCM_Scavel_200_fix2",94.899,202.925400574713,238.533198432119,105.08,54.047,0,0,0,0,"pred"
