"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/factoring87654321x12345678.cnf","smallsat",155.379,647.937891666667,1035.09164692249,167.78,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","Lingeling",1452.939,675.526808,935.332833828251,5000,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","glucose4.2.1",176.104,1224.94827633333,1304.90387943474,191.61,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","cms55.main.all4fixed",45.311,1343.13559433333,1989.98857396467,48.48,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","MapleLCMDistChronoBT",147.514,1451.540326,2105.76871075754,162.35,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","Maple_LCM_Scavel_fix2",166.315,1477.626355,1994.95706115535,184.38,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","CaDiCaL",503.782,1522.20581533333,1435.20065737406,5000,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","Maple_LCM_M1",91.17,1551.27819233333,1981.17503499444,100.21,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","Maple_CM_ordUIP",144.847,1640.80062266667,1730.64681307201,158.57,45.311,0,0,0,0,"pred"
"sat/factoring87654321x12345678.cnf","gluHack",398.571,1653.51227366667,2203.10658276907,445.08,45.311,0,0,0,0,"pred"
