"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/prime_200560490131.cnf","smallsat",142.718,704.841959111111,1290.57833600058,149.4,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","Maple_LCM_Scavel_fix2",91.747,847.187938,1529.93109136933,99.18,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","Maple_CM_ordUIP.",88.465,874.950356444444,1505.91805818132,91.08,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","cms55.main.all4fixed",95.056,878.100575333334,1628.8141341653,105.52,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","MapleCOMSPS_CHB_VSIDS_drup",138.901,886.626647333333,1442.16982686667,154.02,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","expMC_LRB_VSIDS_Switch_2500",108.34,908.526166666667,1677.34014591094,119.71,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","Maple_LCM.BCrestart",86.634,929.766679777778,1534.86821381287,92.45,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","Maple_CM",86.473,946.385561555556,1678.46820667,91.95,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","Maple_CM_Dist",90.058,976.136297111111,1661.87372313485,96.62,84.747,0,0,0,0,"pred"
"sat/prime_200560490131.cnf","Lingeling",132.997,980.530339111111,1429.75917864779,145,84.747,0,0,0,0,"pred"
