"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/a_rphp085_04.cnf","gluHack",643.806,1025.9087608291,1081.26350809084,707.89,643.806,1,"707.89"
"sat/a_rphp085_04.cnf","Maple_LCM_Scavel_200_fix2",2178.416,2501.58650736041,1791.47149550684,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","expMC_LRB_VSIDS_Switch_2500",2060.003,2527.25400761421,2071.89473210174,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","CaDiCaL",3519.964,2890.66842461929,2247.45161038916,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","glu_mix",5000,2916.77486345178,2034.78430882333,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","Maple_LCM.BCrestart",1873.9,2921.2544856176,1992.7145369441,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","Maple_LCM_M1",1989.075,2939.0516036379,1973.91699234104,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","Maple_LCM.BCrestart_M1",1720.337,2966.20239052453,2001.53791392803,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","Maple_LCM_Scavel_fix2",2335.432,2968.28669213198,1942.62249528427,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","abcdsat_r18",2112.774,3045.84923265651,1903.83083395712,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","glucose4.2.1",2196.936,3090.6624571066,2010.21497892975,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","smallsat",2800.149,3114.74743900169,2003.44221122546,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","glucose.3.0_PADC_3",2717.068,3153.34386683587,2070.62182545166,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","glucose.3.0_PADC_10",2722.531,3162.70512952623,2050.77405116627,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","inIDGlucose",3427.344,3173.08493121827,1990.85461997486,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","Glucose_Hack_Kiel_fastBVE",3401.479,3204.24885558376,2001.12951439942,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","Maple_CM",3245.974,3212.81536294416,2103.3174490517,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","GHackCOMSPS_drup",3260.268,3278.33552301184,2079.69986043228,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","Maple_CM_ordUIP",2709.075,3321.65121683587,2088.99472914031,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","glucose3.0",3499.739,3360.25054543147,1905.1169082187,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","MapleLCMDistChronoBT",5000,3385.78365769882,2043.75219956484,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","Riss7.1.fix",3917.595,3395.19535642978,1905.33558774605,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","COMiniSatPS_Pulsar_drup",2979.363,3445.97565473774,2041.58957039839,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","Lingeling",5000,3481.997971489,1771.18737280626,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","Maple_CM_Dist",5000,3492.46249560068,1985.28802371203,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","Sparrow2Riss.2018.fixfix",4184.619,3527.20453307953,1693.65888433239,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","Maple_CM_ordUIP.",2609.938,3609.07288045685,1976.91350155359,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","Candy",3114.705,3685.49860109983,1751.80050611624,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","MapleCOMSPS_CHB_VSIDS_drup",5000,3699.52465465313,1533.59015186783,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","Minisat.v2.2.0.106.ge2dd095",5000,3722.27556962775,1698.02722226287,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","expGlucose",5000,3759.87762208122,1649.2871532587,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","cms55.main.all4fixed",5000,3878.72920922166,1361.17657977476,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",5000,4172.22220456853,1300.88032867204,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","expMC_VSIDS_LRB_Switch_2500",5000,4312.30164686971,1146.83431885263,5000,643.806,1,"Inf"
"sat/a_rphp085_04.cnf","MapleCOMSPS_LRB_VSIDS_drup",5000,4405.44370583756,1401.29671501799,5000,643.806,2,"Inf"
"sat/a_rphp085_04.cnf","expMC_LRB_VSIDS_Switch",5000,4696.88096175973,986.358336206993,5000,643.806,3,"Inf"
"sat/a_rphp085_04.cnf","YalSAT",5000,4893.94709137056,558.0385226556,5000,643.806,1,"Inf"
