"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/Nb8T60.cnf","smallsat",316.03,581.796351333334,1298.19160058855,409.86,0.544,1,"409.86"
"sat/Nb8T60.cnf","cms55.main.all4fixed",5000,702.644164666667,1593.04021072948,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","abcdsat_r18",377.89,1003.51114866667,1832.61444978268,499.41,0.544,3,"499.41"
"sat/Nb8T60.cnf","YalSAT",7.049,1130.26930366667,1904.49571993268,7.81,0.544,4,"7.81"
"sat/Nb8T60.cnf","glu_mix",363.677,1465.534415,1733.24077088375,483.25,0.544,1,"Inf"
"sat/Nb8T60.cnf","CaDiCaL",2246.732,1537.14367933333,1432.60717321951,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","gluHack",0.544,3225.77435133333,2135.78504559551,0.69,0.544,3,"Inf"
"sat/Nb8T60.cnf","Lingeling",5000,4236.27182233333,1659.44116756994,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","Maple_LCM_M1",5000,4357.44179366667,1562.58814342053,5000,0.544,1,"Inf"
"sat/Nb8T60.cnf","Candy",5000,4423.075124,1464.60692293973,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","glucose4.2.1",5000,4551.59109266667,1363.95381171285,5000,0.544,3,"Inf"
"sat/Nb8T60.cnf","Maple_CM_Dist",5000,4569.522579,1239.78893287512,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","Minisat.v2.2.0.106.ge2dd095",5000,4574.379762,1012.26792012174,5000,0.544,1,"Inf"
"sat/Nb8T60.cnf","Maple_CM_ordUIP",5000,4593.54228366667,1147.48614716573,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","expMC_LRB_VSIDS_Switch_2500",5000,4597.357805,1228.83146466853,5000,0.544,3,"Inf"
"sat/Nb8T60.cnf","MapleCOMSPS_LRB_VSIDS_drup",5000,4610.60953766667,1242.78770354009,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","Maple_LCM_Scavel_fix2",5000,4621.99053066667,1148.70418403795,5000,0.544,1,"Inf"
"sat/Nb8T60.cnf","Sparrow2Riss.2018.fixfix",5000,4632.55055033333,1068.81732198156,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","expMC_VSIDS_LRB_Switch_2500",5000,4669.47966933333,1054.65858950471,5000,0.544,3,"Inf"
"sat/Nb8T60.cnf","expMC_LRB_VSIDS_Switch",5000,4674.98334166667,1086.48216643431,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","MapleLCMDistChronoBT",5000,4713.03362,1108.24175098046,5000,0.544,1,"Inf"
"sat/Nb8T60.cnf","expGlucose",5000,4721.247792,958.876581209998,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","Maple_LCM.BCrestart_M1",5000,4723.137184,1049.44320600231,5000,0.544,3,"Inf"
"sat/Nb8T60.cnf","Glucose_Hack_Kiel_fastBVE",5000,4739.545295,967.238275275072,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","GHackCOMSPS_drup",5000,4743.924569,895.373860238787,5000,0.544,1,"Inf"
"sat/Nb8T60.cnf","MapleCOMSPS_CHB_VSIDS_drup",5000,4755.61862533333,830.124303911107,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","Maple_CM",5000,4755.79156166667,804.420882271788,5000,0.544,3,"Inf"
"sat/Nb8T60.cnf","Maple_LCM.BCrestart",5000,4758.943865,856.901832072512,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",5000,4800.85951,985.497874006842,5000,0.544,1,"Inf"
"sat/Nb8T60.cnf","Maple_LCM_Scavel_200_fix2",5000,4800.90837,932.883546034031,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","Maple_CM_ordUIP.",5000,4805.444584,817.186656637967,5000,0.544,3,"Inf"
"sat/Nb8T60.cnf","glucose3.0",5000,4819.77604666667,793.685105328098,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","Riss7.1.fix",5000,4821.152148,786.102186566965,5000,0.544,1,"Inf"
"sat/Nb8T60.cnf","inIDGlucose",5000,4846.871292,725.635862223434,5000,0.544,2,"Inf"
"sat/Nb8T60.cnf","glucose.3.0_PADC_3",5000,4895.251246,600.523832041801,5000,0.544,3,"Inf"
"sat/Nb8T60.cnf","glucose.3.0_PADC_10",5000,4905.71996,666.660556145389,5000,0.544,4,"Inf"
"sat/Nb8T60.cnf","COMiniSatPS_Pulsar_drup",5000,4968.98375,219.318007019773,5000,0.544,1,"Inf"
