"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/ecarev-110-4099-22-30-4.cnf","gluHack",264.832,182.52488,57.2477954587486,337.38,111.147,1,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_LCM_M1",196.927,189.008183,117.490648391327,242.87,111.147,2,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","GHackCOMSPS_drup",165.379,205.194871,265.90275868963,223.21,111.147,3,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","expMC_LRB_VSIDS_Switch_2500",187.867,206.745211333333,421.472526763787,240.26,111.147,4,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Glucose_Hack_Kiel_fastBVE",243.642,206.884095666667,83.7820426836686,308.85,111.147,5,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","smallsat",255.055,257.051812333333,262.657027768063,304.86,111.147,6,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Riss7.1.fix",258.438,284.136096666667,272.061341413524,337.66,111.147,7,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_LCM_Scavel_fix2",207.562,288.084821,517.880871817016,263.35,111.147,1,"445.87488"
"sat/ecarev-110-4099-22-30-4.cnf","glucose.3.0_PADC_3",246.077,298.993143,469.250405467603,313.17,111.147,2,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_CM_ordUIP.",221.485,305.385708,715.870847780715,275.97,111.147,3,"481.164871"
"sat/ecarev-110-4099-22-30-4.cnf","COMiniSatPS_Pulsar_drup",111.147,321.844952333333,819.774852588622,142.91,111.147,4,"349.655211333333"
"sat/ecarev-110-4099-22-30-4.cnf","glucose.3.0_PADC_10",253.032,322.459791,691.679529312573,314.05,111.147,5,"520.934095666667"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_LCM.BCrestart_M1",195.839,331.052894,418.343879496937,234.82,111.147,6,"491.871812333333"
"sat/ecarev-110-4099-22-30-4.cnf","glucose3.0",235.013,344.979316333333,609.082835061641,300.5,111.147,7,"584.636096666667"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_LCM.BCrestart",195.2,347.409156333333,740.567544982108,236.81,111.147,1,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","MapleCOMSPS_LRB_VSIDS_drup",185.109,362.035531666666,959.962886704663,229.75,111.147,2,"717.751326"
"sat/ecarev-110-4099-22-30-4.cnf","abcdsat_r18",350.994,362.885896666667,572.695523323969,408.71,111.147,3,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_LCM_Scavel_200_fix2",208.734,364.339003333333,742.870058335647,261,111.147,4,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","inIDGlucose",245.896,421.655830333333,971.681123181798,307.06,111.147,5,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","MapleLCMDistChronoBT",179.919,424.671386666667,690.86352847183,225.26,111.147,6,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_CM_Dist",215.905,431.659063666667,1029.27563039647,267.9,111.147,7,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","CaDiCaL",534.772,442.203908333334,270.491962690346,685.75,111.147,1,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","glucose4.2.1",280.739,489.846824,981.376098557295,362.81,111.147,2,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","MapleCOMSPS_CHB_VSIDS_drup",323.414,494.598218333333,829.467366057384,411.85,111.147,3,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_CM",205.377,525.218130666667,1049.72496311274,257.81,111.147,4,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Maple_CM_ordUIP",219.126,526.184667333333,1192.69764435244,282.58,111.147,5,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","glu_mix",356.958,528.623186666666,731.320979288469,430.97,111.147,6,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Candy",332.63,529.633283333333,846.023567337576,424.17,111.147,7,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","expMC_LRB_VSIDS_Switch",472.829,586.807008,853.777772367795,645.05,111.147,1,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","expMC_VSIDS_LRB_Switch_2500",753.886,601.042947333333,249.024136040239,1026.59,111.147,2,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",180.375,612.414313333333,1331.39444833301,228.44,111.147,3,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Minisat.v2.2.0.106.ge2dd095",585.598,665.139663666667,1101.28798810362,5000,111.147,4,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Lingeling",901.424,800.734019333333,978.740915086159,5000,111.147,5,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","expGlucose",1302.886,1056.71247266667,701.709211485116,5000,111.147,6,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","Sparrow2Riss.2018.fixfix",1156.561,1250.08600466667,554.875526998817,5000,111.147,7,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","cms55.main.all4fixed",1381.378,1497.561111,782.973184995136,5000,111.147,1,"Inf"
"sat/ecarev-110-4099-22-30-4.cnf","YalSAT",5000,4933.81399333333,468.00574133658,5000,111.147,2,"Inf"
