"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/queen12_12.col.12.cnf","CaDiCaL",10.027,1533.82645337553,1653.54033817528,11.56,0.04,1,"11.56"
"sat/queen12_12.col.12.cnf","MapleCOMSPS_LRB_VSIDS_drup",1417.9,2789.60739156118,2175.17856916052,5000,0.04,2,"Inf"
"sat/queen12_12.col.12.cnf","MapleLCMDistChronoBT",597.941,2844.52738375527,2198.0179374671,5000,0.04,3,"Inf"
"sat/queen12_12.col.12.cnf","Maple_CM_ordUIP.",596.298,2859.00804767933,2189.12259773331,5000,0.04,4,"Inf"
"sat/queen12_12.col.12.cnf","expMC_LRB_VSIDS_Switch",2377.273,2893.90493670886,2039.57605647578,5000,0.04,5,"Inf"
"sat/queen12_12.col.12.cnf","Maple_LCM.BCrestart_M1",587.634,2954.48566118143,2238.25869746151,5000,0.04,6,"Inf"
"sat/queen12_12.col.12.cnf","Maple_LCM.BCrestart",586.701,2962.83452362869,2262.37722584785,5000,0.04,7,"Inf"
"sat/queen12_12.col.12.cnf","Maple_CM_ordUIP",599.956,2999.79165654009,2156.47396149512,5000,0.04,8,"Inf"
"sat/queen12_12.col.12.cnf","Maple_LCM_M1",517.657,3038.06581392405,2086.62098876208,5000,0.04,9,"Inf"
"sat/queen12_12.col.12.cnf","expMC_LRB_VSIDS_Switch_2500",430.215,3090.2542742616,2080.04818511179,5000,0.04,1,"Inf"
"sat/queen12_12.col.12.cnf","cms55.main.all4fixed",184.686,3098.03213776371,2146.161715008,220.68,0.04,2,"3010.28739156118"
"sat/queen12_12.col.12.cnf","Lingeling",0.04,3144.95683691983,2158.99294236501,0.03,0.04,3,"2844.55738375527"
"sat/queen12_12.col.12.cnf","MapleCOMSPS_CHB_VSIDS_drup",4596.98,3163.52777447257,2090.57346157794,5000,0.04,4,"Inf"
"sat/queen12_12.col.12.cnf","Maple_LCM_Scavel_fix2",390.637,3203.20000274262,1970.43311373218,443.07,0.04,5,"3336.97493670886"
"sat/queen12_12.col.12.cnf","Maple_CM_Dist",483.156,3207.63698291139,1927.16609879113,5000,0.04,6,"Inf"
"sat/queen12_12.col.12.cnf","Maple_CM",598.952,3282.69298206751,2115.69230822096,5000,0.04,7,"Inf"
"sat/queen12_12.col.12.cnf","glu_mix",379.712,3323.70319029536,2039.97820759953,448.82,0.04,8,"3448.61165654009"
"sat/queen12_12.col.12.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",1008.351,3347.41663565401,2026.07767641394,5000,0.04,9,"Inf"
"sat/queen12_12.col.12.cnf","Maple_LCM_Scavel_200_fix2",295.932,3397.60233417722,1960.89553529017,335.33,0.04,1,"Inf"
"sat/queen12_12.col.12.cnf","COMiniSatPS_Pulsar_drup",1494.95,3430.13674261603,1798.83649446838,5000,0.04,2,"Inf"
"sat/queen12_12.col.12.cnf","gluHack",1049.609,3494.71735253165,1653.84241360543,5000,0.04,3,"Inf"
"sat/queen12_12.col.12.cnf","smallsat",526.928,3573.24912320675,1949.20763421421,5000,0.04,4,"Inf"
"sat/queen12_12.col.12.cnf","abcdsat_r18",378.134,3612.94083881857,1925.32531002253,441.82,0.04,5,"Inf"
"sat/queen12_12.col.12.cnf","GHackCOMSPS_drup",1322.917,3818.79751940928,1544.70385918767,5000,0.04,6,"Inf"
"sat/queen12_12.col.12.cnf","Glucose_Hack_Kiel_fastBVE",2754.539,3824.05716476793,1345.1057323864,5000,0.04,7,"Inf"
"sat/queen12_12.col.12.cnf","glucose3.0",2996.189,3961.65467278481,1155.26516119191,5000,0.04,8,"Inf"
"sat/queen12_12.col.12.cnf","expMC_VSIDS_LRB_Switch_2500",3338.84,4011.4238742616,1305.29021848921,5000,0.04,9,"Inf"
"sat/queen12_12.col.12.cnf","inIDGlucose",3030.833,4140.50555991561,1376.52102646282,5000,0.04,1,"Inf"
"sat/queen12_12.col.12.cnf","Minisat.v2.2.0.106.ge2dd095",1441.714,4216.4530742616,1106.10985313731,5000,0.04,2,"Inf"
"sat/queen12_12.col.12.cnf","expGlucose",5000,4300.34144831224,984.785759858182,5000,0.04,3,"Inf"
"sat/queen12_12.col.12.cnf","Candy",2811.897,4329.71145864979,1252.24564518491,5000,0.04,4,"Inf"
"sat/queen12_12.col.12.cnf","Riss7.1.fix",838.642,4687.57271413502,1125.47277625308,5000,0.04,5,"Inf"
"sat/queen12_12.col.12.cnf","Sparrow2Riss.2018.fixfix",1611.617,4696.81812974684,1049.32594234155,5000,0.04,6,"Inf"
"sat/queen12_12.col.12.cnf","glucose.3.0_PADC_10",5000,4741.10261160338,939.78511525126,5000,0.04,7,"Inf"
"sat/queen12_12.col.12.cnf","glucose.3.0_PADC_3",5000,4767.03503544304,975.580628116525,5000,0.04,8,"Inf"
"sat/queen12_12.col.12.cnf","glucose4.2.1",5000,4840.78582025316,732.850342110334,5000,0.04,9,"Inf"
"sat/queen12_12.col.12.cnf","YalSAT",5000,4910.5369721519,583.339277554102,5000,0.04,1,"Inf"
