"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/courses0.2_2017_9.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",698.926,1437.99227698815,1330.72625191261,974.75,102.395,1,"974.75"
"sat/courses0.2_2017_9.cnf","MapleLCMDistChronoBT",464.643,1479.33486573604,1421.72004127943,650.48,102.395,2,"650.48"
"sat/courses0.2_2017_9.cnf","glucose3.0",2309.362,1465.76733147208,1460.85419229985,3118.43,102.395,3,"Inf"
"sat/courses0.2_2017_9.cnf","COMiniSatPS_Pulsar_drup",1576.277,1641.69311920474,1364.64403119037,2104.87,102.395,4,"2104.87"
"sat/courses0.2_2017_9.cnf","expMC_LRB_VSIDS_Switch_2500",2113.612,1577.41827047377,1529.84840744831,5000,102.395,5,"Inf"
"sat/courses0.2_2017_9.cnf","Glucose_Hack_Kiel_fastBVE",1049.878,1707.17800685279,1437.97819416327,1415.15,102.395,6,"1415.15"
"sat/courses0.2_2017_9.cnf","MapleCOMSPS_LRB_VSIDS_drup",766.776,1680.04913654822,1472.18698333884,1086.06,102.395,7,"1086.06"
"sat/courses0.2_2017_9.cnf","Maple_LCM_M1",958.609,1828.84964576988,1396.03189296107,1305.34,102.395,8,"1305.34"
"sat/courses0.2_2017_9.cnf","Riss7.1.fix",677.052,1692.79725067682,1543.51677408037,854.02,102.395,9,"854.02"
"sat/courses0.2_2017_9.cnf","Maple_CM_Dist",1862.034,1931.53467343486,1307.07119238392,2540.28,102.395,10,"2540.28"
"sat/courses0.2_2017_9.cnf","Maple_LCM.BCrestart_M1",1258.399,1788.51319255499,1488.11732074125,1679.12,102.395,1,"Inf"
"sat/courses0.2_2017_9.cnf","Maple_LCM.BCrestart",102.395,1997.70584153976,1302.1010426584,134.16,102.395,2,"Inf"
"sat/courses0.2_2017_9.cnf","Maple_CM_ordUIP.",1012.514,1983.27720042301,1367.46464903901,1364.49,102.395,3,"4291.11152377193"
"sat/courses0.2_2017_9.cnf","Minisat.v2.2.0.106.ge2dd095",907.363,1874.17460465313,1549.64369316711,1242.45,102.395,4,"Inf"
"sat/courses0.2_2017_9.cnf","inIDGlucose",2467.649,2082.60980076142,1358.28870745914,3291.06,102.395,5,"Inf"
"sat/courses0.2_2017_9.cnf","Maple_CM",1030.969,2113.31663781726,1335.42167216517,1405.04,102.395,6,"Inf"
"sat/courses0.2_2017_9.cnf","Lingeling",723.988,1966.79024492386,1504.55579149367,881.16,102.395,7,"Inf"
"sat/courses0.2_2017_9.cnf","Maple_CM_ordUIP",1007.343,2106.49789238579,1371.50018370611,1418.77,102.395,8,"Inf"
"sat/courses0.2_2017_9.cnf","gluHack",2232.554,2132.92026370558,1440.85960444467,3138.57,102.395,9,"Inf"
"sat/courses0.2_2017_9.cnf","Candy",839.536,2274.77599306261,1453.12222419375,1148.74,102.395,10,"Inf"
"sat/courses0.2_2017_9.cnf","smallsat",441.102,1804.49694763114,1953.77668997789,522.6,102.395,1,"Inf"
"sat/courses0.2_2017_9.cnf","expMC_LRB_VSIDS_Switch",2054.787,2222.22069052453,1538.10475697753,2678.89,102.395,2,"Inf"
"sat/courses0.2_2017_9.cnf","glu_mix",155.258,2045.21162681895,1757.51098252335,213.2,102.395,3,"Inf"
"sat/courses0.2_2017_9.cnf","cms55.main.all4fixed",869.215,2331.14197038917,1485.33122839738,1001,102.395,4,"Inf"
"sat/courses0.2_2017_9.cnf","Maple_LCM_Scavel_fix2",455.107,2396.28369695431,1691.09632692164,596.67,102.395,5,"Inf"
"sat/courses0.2_2017_9.cnf","Maple_LCM_Scavel_200_fix2",422.905,2497.89111387479,1643.68340152612,581.05,102.395,6,"Inf"
"sat/courses0.2_2017_9.cnf","Sparrow2Riss.2018.fixfix",2876.22,2849.08331497462,1462.66238092065,3180.35,102.395,7,"Inf"
"sat/courses0.2_2017_9.cnf","abcdsat_r18",1837.408,2514.12507546531,1820.08737085217,2276.59,102.395,8,"Inf"
"sat/courses0.2_2017_9.cnf","glucose.3.0_PADC_3",2498.303,2584.15114771574,1845.40079019204,3426.89,102.395,9,"Inf"
"sat/courses0.2_2017_9.cnf","GHackCOMSPS_drup",1277.875,2774.30784052453,1925.62427830799,1781.21,102.395,10,"Inf"
"sat/courses0.2_2017_9.cnf","CaDiCaL",5000,2798.48461920474,1976.81063633432,5000,102.395,1,"Inf"
"sat/courses0.2_2017_9.cnf","glucose4.2.1",2135.227,2850.70153866328,1943.59024049728,2733.17,102.395,2,"Inf"
"sat/courses0.2_2017_9.cnf","glucose.3.0_PADC_10",2485.664,2954.26535609137,1894.16362261073,3327.82,102.395,3,"Inf"
"sat/courses0.2_2017_9.cnf","MapleCOMSPS_CHB_VSIDS_drup",555.306,2987.23932275804,1914.8634303343,660.71,102.395,4,"Inf"
"sat/courses0.2_2017_9.cnf","YalSAT",5000,5000,0,5000,102.395,5,"Inf"
"sat/courses0.2_2017_9.cnf","expMC_VSIDS_LRB_Switch_2500",5000,3232.79571878173,1839.63729841595,3072.84,102.395,6,"Inf"
"sat/courses0.2_2017_9.cnf","expGlucose",5000,3429.58848282572,1881.69175836257,5000,102.395,7,"Inf"
