"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_LCM_Scavel_200_fix2",18.269,224.623017777778,81.6110087969356,20.27,2.349,1,"20.27"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_LCM_M1",8.832,224.201508222222,196.926966917808,9.75,2.349,2,"9.75"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","MapleLCMDistChronoBT",8.764,231.955026666667,580.932427866798,9.62,2.349,3,"9.62"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_LCM_Scavel_fix2",11.692,264.156739333333,582.349866701259,13.24,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","cms55.main.all4fixed",34.775,556.450607777778,302.536289559398,41.25,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","expMC_LRB_VSIDS_Switch_2500",6.738,430.977466222222,554.623676823811,7.73,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_CM",9.2,369.532834666667,622.970524901386,10.42,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_CM_Dist",6.464,460.878652666667,596.9217598073,7.19,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",10.785,522.315837777778,707.381022924284,12.39,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_CM_ordUIP",9.603,617.177625333333,792.839203147168,10.6,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","abcdsat_r18",7.767,634.825143111111,823.177703112139,8.52,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_LCM.BCrestart_M1",8.504,775.785518666666,855.17218305396,10.15,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_CM_ordUIP.",9.084,663.686604666667,1029.59497045052,10.47,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","expMC_LRB_VSIDS_Switch",12.325,1071.95104,740.637584341357,14.76,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Maple_LCM.BCrestart",8.326,811.029479777778,1246.97168115214,9.26,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","MapleCOMSPS_LRB_VSIDS_drup",10.788,1412.05513755555,789.321698800472,12.19,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","COMiniSatPS_Pulsar_drup",6.601,1539.95991311111,850.94853747283,7.35,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","expMC_VSIDS_LRB_Switch_2500",2483.93,2624.61240311111,157.690238881676,2489.81,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","smallsat",13.117,1345.65703911111,1450.16868387947,15.19,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","GHackCOMSPS_drup",2.349,2275.35042133333,1137.47159139512,2.48,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","CaDiCaL",20.141,1736.93518733333,1699.77855544485,23.3,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Minisat.v2.2.0.106.ge2dd095",54.641,1768.39608711111,1669.14087799243,62.5,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","YalSAT",5000,5000,0,5000,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Glucose_Hack_Kiel_fastBVE",241.644,3470.91906022222,1588.07002720237,293.69,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","glu_mix",99.901,3240.19239644445,1962.16973890935,5000,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","MapleCOMSPS_CHB_VSIDS_drup",64.704,3049.24726511111,2211.50079600376,75.15,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Candy",72.174,3588.57139422222,1698.95548534852,91.28,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","glucose3.0",243.782,3777.06904911111,1521.04050772964,301.58,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","glucose.3.0_PADC_3",308.065,3335.64485088889,1996.15960875668,383.8,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","inIDGlucose",205.45,3619.29857755556,1720.36428455887,5000,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Sparrow2Riss.2018.fixfix",683.524,3537.25752533333,1853.0767610253,793.07,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","expGlucose",412.416,3630.32064666667,1864.03489774321,502.56,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","glucose.3.0_PADC_10",308.795,3755.09151777778,1762.09536625022,392.1,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Lingeling",238.504,3514.24348,2059.44354024932,279.25,2.349,1,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","Riss7.1.fix",185.645,3633.17886511111,1940.75206447596,222.9,2.349,2,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","glucose4.2.1",256.733,3691.62641622222,1904.15725962424,324.47,2.349,3,"Inf"
"sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf","gluHack",149.807,3673.845446,1934.39809575664,180.79,2.349,1,"Inf"
