"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/CNP-5-1600.cnf","YalSAT",14.737,5.55658755274272,4.71375062589912,16.45,1.91,1,"Inf"
"sat/CNP-5-1600.cnf","Sparrow2Riss.2018.fixfix",1.985,8.24761772151902,42.2043516316799,1.72,1.91,2,"1.72"
"sat/CNP-5-1600.cnf","Minisat.v2.2.0.106.ge2dd095",156.845,93.9990660337553,35.3241400700059,183.1,1.91,3,"Inf"
"sat/CNP-5-1600.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",71.55,74.8331398734178,65.407729068541,80.26,1.91,4,"80.26"
"sat/CNP-5-1600.cnf","Maple_CM",144.659,93.2901008438818,78.7899789094782,174.33,1.91,5,"Inf"
"sat/CNP-5-1600.cnf","MapleCOMSPS_LRB_VSIDS_drup",14.865,114.984635021097,229.299002350077,16.83,1.91,1,"27.1003381786418"
"sat/CNP-5-1600.cnf","Maple_LCM_M1",15.371,307.667591561181,100.474082900896,16.36,1.91,2,"Inf"
"sat/CNP-5-1600.cnf","MapleLCMDistChronoBT",42.495,230.950481012658,199.393670183289,48.63,1.91,3,"177.953206103761"
"sat/CNP-5-1600.cnf","GHackCOMSPS_drup",1.91,179.512343670886,294.478474046139,1.94,1.91,4,"Inf"
"sat/CNP-5-1600.cnf","Maple_LCM.BCrestart",816.507,250.713519409283,257.387961338137,5000,1.91,5,"Inf"
"sat/CNP-5-1600.cnf","Maple_CM_ordUIP",224.032,332.034961603376,299.957044169668,254.86,1.91,1,"Inf"
"sat/CNP-5-1600.cnf","Maple_LCM_Scavel_fix2",572.889,341.588147890295,297.014158148444,687.09,1.91,2,"Inf"
"sat/CNP-5-1600.cnf","MapleCOMSPS_CHB_VSIDS_drup",85.256,344.610166877637,303.687274167592,94.62,1.91,3,"Inf"
"sat/CNP-5-1600.cnf","COMiniSatPS_Pulsar_drup",52.425,105.252617932489,558.724460801614,58.18,1.91,4,"Inf"
"sat/CNP-5-1600.cnf","expMC_LRB_VSIDS_Switch_2500",397.295,424.060715611814,284.694142309156,451.43,1.91,5,"1131.61156050078"
"sat/CNP-5-1600.cnf","Glucose_Hack_Kiel_fastBVE",703.398,260.877099156118,468.460983886187,875.73,1.91,1,"Inf"
"sat/CNP-5-1600.cnf","Riss7.1.fix",56.477,406.785594725738,338.613071607864,64.86,1.91,2,"Inf"
"sat/CNP-5-1600.cnf","expMC_LRB_VSIDS_Switch",59.248,214.919671308017,560.228301110465,65.57,1.91,3,"Inf"
"sat/CNP-5-1600.cnf","Maple_LCM_Scavel_200_fix2",174.964,450.59780886076,416.958822357522,194.59,1.91,4,"Inf"
"sat/CNP-5-1600.cnf","glucose3.0",710.768,240.921651898734,635.748663592381,5000,1.91,5,"Inf"
"sat/CNP-5-1600.cnf","Maple_CM_ordUIP.",224.034,413.350222995781,611.52202500957,247.39,1.91,1,"Inf"
"sat/CNP-5-1600.cnf","cms55.main.all4fixed",392.544,371.728960337553,710.877097704853,448.69,1.91,2,"Inf"
"sat/CNP-5-1600.cnf","smallsat",573.565,431.525694725738,693.952625103508,652.01,1.91,3,"Inf"
"sat/CNP-5-1600.cnf","glucose4.2.1",278.432,609.204832067511,700.581818131349,323.61,1.91,4,"Inf"
"sat/CNP-5-1600.cnf","glucose.3.0_PADC_3",103.621,701.074679324895,662.224162284815,126.12,1.91,5,"Inf"
"sat/CNP-5-1600.cnf","abcdsat_r18",332.731,520.103519620253,904.071711078014,391.16,1.91,1,"Inf"
"sat/CNP-5-1600.cnf","glucose.3.0_PADC_10",106.385,754.629310126582,682.64554131451,125.44,1.91,2,"Inf"
"sat/CNP-5-1600.cnf","inIDGlucose",240.303,454.527064978903,986.720999168911,279.57,1.91,3,"Inf"
"sat/CNP-5-1600.cnf","glu_mix",3566.488,511.425239451477,1220.4534611296,5000,1.91,4,"Inf"
"sat/CNP-5-1600.cnf","Candy",406.609,530.095794514768,1314.89297035359,515.2,1.91,5,"Inf"
"sat/CNP-5-1600.cnf","Maple_LCM.BCrestart_M1",14.704,790.648701898734,1099.98383220628,17.12,1.91,1,"Inf"
"sat/CNP-5-1600.cnf","expGlucose",498.743,1366.24245316456,722.109859321646,613.06,1.91,2,"Inf"
"sat/CNP-5-1600.cnf","expMC_VSIDS_LRB_Switch_2500",147.149,1509.13540654008,989.287416250505,167.47,1.91,3,"Inf"
"sat/CNP-5-1600.cnf","Maple_CM_Dist",62.273,1093.71461877637,1425.45540626704,70.17,1.91,4,"Inf"
"sat/CNP-5-1600.cnf","gluHack",79.75,1241.53297700422,1482.72950982185,91.82,1.91,5,"Inf"
"sat/CNP-5-1600.cnf","CaDiCaL",2450.938,2246.02921603376,640.645033216889,5000,1.91,1,"Inf"
"sat/CNP-5-1600.cnf","Lingeling",508.96,2120.99114135021,1565.5522052911,580.82,1.91,2,"Inf"
