"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/gto_p60c231_1.cnf","Maple_CM_ordUIP.",53.112,97.0914093062604,148.477316787482,62.22,34.945,1,"62.22"
"sat/gto_p60c231_1.cnf","expMC_LRB_VSIDS_Switch",82.268,153.597392470389,269.091209408038,93.72,34.945,2,"93.72"
"sat/gto_p60c231_1.cnf","glucose4.2.1",148.532,247.444758291032,207.928013937777,174.53,34.945,3,"174.53"
"sat/gto_p60c231_1.cnf","expMC_LRB_VSIDS_Switch_2500",34.945,122.825464382403,404.18991570604,39.27,34.945,4,"39.27"
"sat/gto_p60c231_1.cnf","Lingeling",73.638,165.303679441624,370.513098578692,84.83,34.945,5,"84.83"
"sat/gto_p60c231_1.cnf","Maple_LCM.BCrestart",48.74,148.554034433164,397.608004415747,55.72,34.945,6,"55.72"
"sat/gto_p60c231_1.cnf","cms55.main.all4fixed",62.63,215.282929949239,354.585000288689,71.94,34.945,1,"Inf"
"sat/gto_p60c231_1.cnf","Maple_CM_Dist",55.77,142.4367035533,429.282996716258,62.84,34.945,2,"Inf"
"sat/gto_p60c231_1.cnf","COMiniSatPS_Pulsar_drup",165.968,253.412528426396,343.320716190217,190.01,34.945,3,"Inf"
"sat/gto_p60c231_1.cnf","MapleLCMDistChronoBT",53.999,155.804120896785,470.310338662021,62.48,34.945,4,"Inf"
"sat/gto_p60c231_1.cnf","Maple_LCM_M1",45.83,169.305878595601,505.348650410424,52.32,34.945,5,"Inf"
"sat/gto_p60c231_1.cnf","abcdsat_r18",61.898,176.209032741117,499.179984839096,71.66,34.945,6,"Inf"
"sat/gto_p60c231_1.cnf","CaDiCaL",74.049,204.604307783418,473.793936535329,85.78,34.945,1,"Inf"
"sat/gto_p60c231_1.cnf","Maple_CM_ordUIP",53.962,174.965924788494,550.835110763849,63.44,34.945,2,"Inf"
"sat/gto_p60c231_1.cnf","Maple_LCM_Scavel_200_fix2",53.32,193.652918950931,548.986790324337,59.43,34.945,3,"Inf"
"sat/gto_p60c231_1.cnf","glu_mix",78.673,181.707956006768,562.934913026286,90.05,34.945,4,"Inf"
"sat/gto_p60c231_1.cnf","MapleCOMSPS_CHB_VSIDS_drup",93.204,236.125181387479,508.520365141961,109.57,34.945,5,"Inf"
"sat/gto_p60c231_1.cnf","expMC_VSIDS_LRB_Switch_2500",152.518,402.764713113367,350.736230810522,170.3,34.945,6,"Inf"
"sat/gto_p60c231_1.cnf","smallsat",70.985,193.93497749577,570.754709709113,81.03,34.945,1,"Inf"
"sat/gto_p60c231_1.cnf","Maple_CM",56.091,197.791574957699,579.50664566041,61.74,34.945,2,"Inf"
"sat/gto_p60c231_1.cnf","expGlucose",193.897,336.486620135364,443.461758044211,223.82,34.945,3,"Inf"
"sat/gto_p60c231_1.cnf","inIDGlucose",318.308,422.088138832487,358.840399844132,377,34.945,4,"Inf"
"sat/gto_p60c231_1.cnf","MapleCOMSPS_LRB_VSIDS_drup",86.829,236.84647749577,548.242497454261,100.11,34.945,5,"Inf"
"sat/gto_p60c231_1.cnf","Glucose_Hack_Kiel_fastBVE",243.3,422.592670981387,363.292697251701,286.48,34.945,6,"Inf"
"sat/gto_p60c231_1.cnf","Maple_LCM.BCrestart_M1",46.065,187.987950592217,612.322828717577,52.07,34.945,1,"Inf"
"sat/gto_p60c231_1.cnf","glucose3.0",221.806,477.132301607445,355.979667637283,257.57,34.945,2,"Inf"
"sat/gto_p60c231_1.cnf","GHackCOMSPS_drup",131.332,293.116872250423,548.248819313719,150.67,34.945,3,"Inf"
"sat/gto_p60c231_1.cnf","gluHack",104.449,296.748977241963,600.983917594615,118.2,34.945,4,"Inf"
"sat/gto_p60c231_1.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",63.191,236.716933333334,736.337350261172,72.25,34.945,5,"Inf"
"sat/gto_p60c231_1.cnf","glucose.3.0_PADC_10",400.822,641.199296362098,509.758039490337,495.71,34.945,6,"Inf"
"sat/gto_p60c231_1.cnf","Candy",251.832,485.47271607445,676.375859809543,287.2,34.945,1,"Inf"
"sat/gto_p60c231_1.cnf","Maple_LCM_Scavel_fix2",47.771,293.38314678511,934.858870470041,55.19,34.945,2,"Inf"
"sat/gto_p60c231_1.cnf","Minisat.v2.2.0.106.ge2dd095",212.116,673.213485532995,742.545161832535,251.34,34.945,3,"Inf"
"sat/gto_p60c231_1.cnf","glucose.3.0_PADC_3",408.514,775.732568612521,641.234449304393,489.98,34.945,4,"Inf"
"sat/gto_p60c231_1.cnf","Riss7.1.fix",606.414,1321.3967534687,1366.99688463634,726.14,34.945,5,"Inf"
"sat/gto_p60c231_1.cnf","Sparrow2Riss.2018.fixfix",881.055,1495.82225566836,1212.7580492593,5000,34.945,6,"Inf"
"sat/gto_p60c231_1.cnf","YalSAT",5000,4985.17595939086,208.065324973492,5000,34.945,1,"Inf"
