"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_CM_Dist",928.505,121.252589662447,113.560774199303,5000,174.989,1,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_LCM_M1",641.455,146.162306118143,116.099316136873,5000,174.989,2,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","MapleLCMDistChronoBT",331.268,160.741610970464,171.245305680982,5000,174.989,3,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_LCM_Scavel_fix2",397.846,190.834896202532,160.860870719314,514.25,174.989,4,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","expMC_LRB_VSIDS_Switch_2500",1453.389,300.985503797468,177.904199393235,5000,174.989,5,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_LCM.BCrestart_M1",1036.698,275.818040084388,232.315045282677,5000,174.989,6,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_LCM_Scavel_200_fix2",252.087,286.069613080169,238.523815211119,325.71,174.989,7,"325.71"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","cms55.main.all4fixed",1149.985,287.938532911392,266.631805560355,5000,174.989,8,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_CM",174.989,366.96054556962,313.803351702629,223.08,174.989,1,"457.89336386175"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_CM_ordUIP.",1486.319,274.125562236287,454.255864536935,5000,174.989,2,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","abcdsat_r18",2338.727,522.825936708861,299.287385910217,5000,174.989,3,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_CM_ordUIP",1525.133,366.308060337553,534.448312397403,5000,174.989,4,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",1267.732,495.202526160338,499.127325662796,5000,174.989,5,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","COMiniSatPS_Pulsar_drup",1764.391,667.76401350211,479.853572364375,5000,174.989,6,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","smallsat",5000,737.516539662447,582.83425266174,5000,174.989,7,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","GHackCOMSPS_drup",3799.565,1002.69491666667,613.51258893988,5000,174.989,8,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","MapleCOMSPS_LRB_VSIDS_drup",2227.029,770.868385443038,876.800956334299,5000,174.989,1,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","Maple_LCM.BCrestart",1488.03,705.683409493671,1226.42542803328,5000,174.989,2,"Inf"
"sat/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf","expMC_LRB_VSIDS_Switch",2478.807,885.817846413502,1272.8187016565,5000,174.989,3,"Inf"
