"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Sparrow2Riss.2018.fixfix",0.976,13.3529721518987,28.5377821955551,1.13,0.012,1,"1.13"
"sat/20180321_110706599_p_cnf_320_1120.cnf","YalSAT",0.012,15.5956605485232,63.8608283614196,0.01,0.012,2,"0.01"
"sat/20180321_110706599_p_cnf_320_1120.cnf","abcdsat_r18",5000,1747.74283860759,1757.13003806841,5000,0.012,3,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Maple_LCM_Scavel_fix2",2788.481,2816.82662004219,1400.29248077019,5000,0.012,4,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Minisat.v2.2.0.106.ge2dd095",248.008,2241.93465063291,2060.59976953946,285.07,0.012,5,"285.07"
"sat/20180321_110706599_p_cnf_320_1120.cnf","MapleLCMDistChronoBT",5000,2999.00866350211,1651.73800557133,5000,0.012,6,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","MapleCOMSPS_CHB_VSIDS_drup",5000,3354.14704894515,1361.64100119196,5000,0.012,7,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Maple_LCM.BCrestart_M1",1074.906,3047.2117685654,1881.33568353012,5000,0.012,8,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","expMC_LRB_VSIDS_Switch_2500",5000,2798.01922953586,2171.72520366136,5000,0.012,9,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Maple_LCM_M1",4382.72,5000,0,5000,0.012,1,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","expMC_LRB_VSIDS_Switch",5000,5000,4.60540544319732e-13,5000,0.012,2,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Glucose_Hack_Kiel_fastBVE",5000,5000,5.14899981746837e-13,5000,0.012,3,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","gluHack",5000,5000,5.64044669723482e-13,5000,0.012,4,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Riss7.1.fix",5000,5000,5.0449688953925e-13,5000,0.012,5,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",1703.446,3297.60318080169,1761.61881632973,5000,0.012,6,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","Maple_LCM.BCrestart",312.138,3625.41968459916,1501.27732263978,5000,0.012,7,"Inf"
"sat/20180321_110706599_p_cnf_320_1120.cnf","GHackCOMSPS_drup",5000,3903.03825675105,1256.83513020005,5000,0.012,8,"Inf"
