"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/6-3-8.cnf","glucose4.2.1",3.253,4479.44397531646,889.61123911282,3.65,3.253,1,"3.65"
"sat/6-3-8.cnf","inIDGlucose",303.312,4879.9134978903,543.352171665023,383.5,3.253,2,"383.5"
"sat/6-3-8.cnf","Maple_CM_ordUIP",195.385,4862.43226962025,596.548411041197,235.43,3.253,3,"235.43"
"sat/6-3-8.cnf","expMC_VSIDS_LRB_Switch_2500",810.183,4870.88128164557,596.82829538827,5000,3.253,4,"5000"
"sat/6-3-8.cnf","YalSAT",5000,4936.72006329114,562.44438018378,5000,3.253,5,"5000"
"sat/6-3-8.cnf","glucose.3.0_PADC_3",441.178,4879.89510443038,649.011917474686,5000,3.253,6,"5000"
"sat/6-3-8.cnf","Maple_LCM.BCrestart_M1",340.455,4874.47506012658,668.812464559762,5000,3.253,7,"5000"
"sat/6-3-8.cnf","Maple_CM",196.251,4865.23303607595,690.201303753607,237.09,3.253,8,"237.09"
"sat/6-3-8.cnf","glucose.3.0_PADC_10",426.588,4864.45762341772,733.577304364431,5000,3.253,9,"5000"
"sat/6-3-8.cnf","expGlucose",2855.604,4759.98140042194,855.118293858274,5000,3.253,1,"Inf"
"sat/6-3-8.cnf","MapleCOMSPS_LRB_VSIDS_drup",258.041,4730.42344514768,925.280937478738,306.32,3.253,2,"Inf"
"sat/6-3-8.cnf","MapleCOMSPS_CHB_VSIDS_drup",828.802,4801.93882658228,855.814463137454,5000,3.253,3,"Inf"
"sat/6-3-8.cnf","Candy",5000,4781.71949493671,878.258615248493,5000,3.253,4,"Inf"
"sat/6-3-8.cnf","Minisat.v2.2.0.106.ge2dd095",5000,4843.52412658228,825.566960307145,5000,3.253,5,"Inf"
"sat/6-3-8.cnf","expMC_LRB_VSIDS_Switch",800.824,4826.91712658228,845.447040790541,5000,3.253,6,"Inf"
"sat/6-3-8.cnf","Maple_CM_Dist",203.091,4775.22469050633,907.485106490076,252.78,3.253,7,"Inf"
"sat/6-3-8.cnf","Glucose_Hack_Kiel_fastBVE",1563.237,4611.01090590717,1076.61151279516,5000,3.253,8,"Inf"
"sat/6-3-8.cnf","smallsat",186.193,4643.17196455696,1056.88394598736,225.19,3.253,9,"Inf"
"sat/6-3-8.cnf","COMiniSatPS_Pulsar_drup",215.497,4651.55778881856,1058.36765923006,272.87,3.253,1,"Inf"
"sat/6-3-8.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",435.716,4555.3086092827,1184.79606096692,524.46,3.253,2,"Inf"
"sat/6-3-8.cnf","GHackCOMSPS_drup",75.525,4766.55861772152,978.414848523223,92.6,3.253,3,"Inf"
"sat/6-3-8.cnf","gluHack",323.174,4718.68554008439,1039.07756127523,416.75,3.253,4,"Inf"
"sat/6-3-8.cnf","glu_mix",285.885,4546.18472890295,1219.52118873961,361.16,3.253,5,"Inf"
"sat/6-3-8.cnf","Lingeling",195.603,4698.67898459916,1070.02493787418,233.76,3.253,6,"Inf"
"sat/6-3-8.cnf","abcdsat_r18",336.913,4608.72510886076,1175.12002222032,408.3,3.253,7,"Inf"
"sat/6-3-8.cnf","glucose3.0",1576.216,4615.87692805907,1175.95198235542,5000,3.253,8,"Inf"
"sat/6-3-8.cnf","Maple_LCM_Scavel_200_fix2",346.894,4511.1362778481,1285.25892852891,433.29,3.253,9,"Inf"
"sat/6-3-8.cnf","Riss7.1.fix",2127.585,4558.69689746835,1263.56066137655,5000,3.253,1,"Inf"
"sat/6-3-8.cnf","expMC_LRB_VSIDS_Switch_2500",193.342,4402.02033565401,1422.47145536095,236.17,3.253,2,"Inf"
"sat/6-3-8.cnf","Maple_LCM.BCrestart",1356.37,4141.37235654008,1698.79014425222,5000,3.253,3,"Inf"
"sat/6-3-8.cnf","Sparrow2Riss.2018.fixfix",2509.891,4633.79630590717,1216.97488775261,5000,3.253,4,"Inf"
"sat/6-3-8.cnf","CaDiCaL",1234.829,4434.40764261603,1425.02420972409,5000,3.253,5,"Inf"
"sat/6-3-8.cnf","Maple_LCM_M1",360.949,4590.23737510548,1270.8410177211,5000,3.253,6,"Inf"
"sat/6-3-8.cnf","cms55.main.all4fixed",535.755,4518.71769219409,1356.98428394153,5000,3.253,7,"Inf"
"sat/6-3-8.cnf","Maple_CM_ordUIP.",199.708,4431.54915464135,1478.28503643874,239.9,3.253,8,"Inf"
"sat/6-3-8.cnf","MapleLCMDistChronoBT",407.258,4424.34671582278,1509.25584939559,5000,3.253,9,"Inf"
"sat/6-3-8.cnf","Maple_LCM_Scavel_fix2",373.112,4439.42711772152,1496.09377813084,458.13,3.253,1,"Inf"
