"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_LCM_M1",14.979,51.4008582222221,76.4649301819294,18.5,4.84,1,"18.5"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","cms55.main.all4fixed",26.85,55.4568384444445,113.219637509847,33.43,4.84,2,"33.43"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","MapleLCMDistChronoBT",10.008,101.633356222222,81.85454244735,12.47,4.84,3,"12.47"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_CM",7.593,56.1058266666666,141.986648678624,9.38,4.84,4,"9.38"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_CM_Dist",8.885,79.0410119999999,185.564521415855,11.06,4.84,5,"11.06"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_LCM_Scavel_200_fix2",18.037,163.568144888889,122.075876970897,22.06,4.84,6,"22.06"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","expMC_LRB_VSIDS_Switch_2500",9.143,109.581932666667,191.719444101779,11.16,4.84,7,"11.16"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","abcdsat_r18",57.761,88.9866751111111,236.522045789097,73.21,4.84,8,"73.21"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_LCM_Scavel_fix2",13.911,137.989891111111,247.780929607727,16.82,4.84,9,"16.82"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","smallsat",21.679,302.052995777778,243.628035520411,26.67,4.84,1,"Inf"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_LCM.BCrestart_M1",14.856,126.937659111111,605.551625808843,18.46,4.84,2,"Inf"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_LCM.BCrestart",8.267,228.134258,592.972822393928,9.89,4.84,3,"Inf"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","Maple_CM_ordUIP.",38.585,210.826401555556,636.491867079387,47.89,4.84,4,"Inf"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","MapleCOMSPS_LRB_VSIDS_drup",4.84,292.501168222222,607.280562108869,6.13,4.84,5,"Inf"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","expMC_LRB_VSIDS_Switch",26.021,428.573700222222,591.684453832918,34.04,4.84,6,"Inf"
"sat/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",18.064,312.704826222222,742.509071408581,22.53,4.84,7,"Inf"
