"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","Maple_LCM_Scavel_fix2",13.462,93.3410790043291,45.3500418422611,15.09,0.05,2,"15.09"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","Maple_LCM_Scavel_200_fix2",13.088,110.711984632035,92.8948226442813,14.9,0.05,3,"14.9"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","Maple_LCM_M1",8.316,116.787735497835,123.9961651715,10.28,0.05,4,"10.28"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","expMC_LRB_VSIDS_Switch_2500",6.779,169.04905974026,100.011952139226,7.71,0.05,2,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","Maple_LCM.BCrestart",7.695,156.030851082251,131.889911872953,9.42,0.05,1,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","Maple_CM",9.035,206.61274047619,123.576459944183,10.62,0.05,5,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","Maple_CM_Dist",9.756,191.987347402597,177.104216793802,11.76,0.05,3,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","cms55.main.all4fixed",0.05,93.0830012987014,288.303934266716,0.05,0.05,1,"0.05"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","Maple_LCM.BCrestart_M1",8.63,143.786054978355,288.841235090143,10.28,0.05,5,"10.28"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","MapleLCMDistChronoBT",6.532,155.463016883117,283.337016531634,7.46,0.05,6,"7.46"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",6.66,200.227303679654,293.104026968337,7.97,0.05,4,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","COMiniSatPS_Pulsar_drup",6.644,436.870791125541,123.834440873369,7.13,0.05,3,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf","smallsat",3.982,368.781329004329,212.778507934905,4.54,0.05,2,"Inf"
