"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/ortholatin-7.cnf","Maple_LCM.BCrestart",23.225,2645.82531633333,2049.2985917553,27.36,0.58,1,"27.36"
"sat/ortholatin-7.cnf","MapleLCMDistChronoBT",20.712,2791.802952,2157.33100732203,25.01,0.58,3,"25.01"
"sat/ortholatin-7.cnf","MapleCOMSPS_LRB_VSIDS_drup",17.684,2824.530776,2154.54097318419,20.67,0.58,4,"20.67"
"sat/ortholatin-7.cnf","Maple_LCM_Scavel_fix2",23.738,2777.794261,2217.69197087681,28.14,0.58,2,"28.14"
"sat/ortholatin-7.cnf","CaDiCaL",0.58,2959.11468466667,2064.81517599844,0.61,0.58,1,"Inf"
"sat/ortholatin-7.cnf","gluHack",24.85,2916.08781133333,2121.94716394049,29.32,0.58,5,"29.32"
"sat/ortholatin-7.cnf","COMiniSatPS_Pulsar_drup",76.203,3055.690562,2003.27641793624,94.93,0.58,3,"Inf"
"sat/ortholatin-7.cnf","glucose3.0",25.411,3184.082283,1895.55026312219,30.1,0.58,6,"Inf"
"sat/ortholatin-7.cnf","glu_mix",53.798,2937.34965966667,2171.46607009248,64.82,0.58,6,"64.82"
"sat/ortholatin-7.cnf","Riss7.1.fix",20.301,2948.16414933333,2213.16473085632,24.1,0.58,7,"24.1"
"sat/ortholatin-7.cnf","cms55.main.all4fixed",26.639,3139.20990666667,2036.16560949365,32.49,0.58,5,"Inf"
"sat/ortholatin-7.cnf","Lingeling",32.832,3022.37538133333,2158.43745510205,39.18,0.58,2,"Inf"
"sat/ortholatin-7.cnf","inIDGlucose",23.233,3197.26711166667,1992.16563491828,25.41,0.58,7,"Inf"
"sat/ortholatin-7.cnf","Sparrow2Riss.2018.fixfix",487.779,3257.88581033333,1956.62942776989,567.68,0.58,2,"Inf"
"sat/ortholatin-7.cnf","Glucose_Hack_Kiel_fastBVE",17.073,3457.66742733333,1758.17131132838,20.21,0.58,5,"Inf"
"sat/ortholatin-7.cnf","GHackCOMSPS_drup",63.917,3268.06308766667,1992.26967146075,78.35,0.58,3,"Inf"
"sat/ortholatin-7.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",24.351,3245.17659633333,2079.31097665495,28.84,0.58,1,"Inf"
"sat/ortholatin-7.cnf","Maple_LCM_Scavel_200_fix2",17.125,3116.671201,2226.92863110592,20.08,0.58,4,"Inf"
"sat/ortholatin-7.cnf","Maple_CM_ordUIP.",10.984,3544.49249233333,1853.09091070281,12.91,0.58,5,"Inf"
"sat/ortholatin-7.cnf","Maple_CM_Dist",23.381,3506.74091666667,1921.97927654508,27.86,0.58,2,"Inf"
"sat/ortholatin-7.cnf","expGlucose",40.844,3912.00285766667,1531.81086731065,47.08,0.58,1,"Inf"
"sat/ortholatin-7.cnf","expMC_VSIDS_LRB_Switch_2500",25.082,3869.706065,1589.98674181016,31.35,0.58,7,"Inf"
"sat/ortholatin-7.cnf","glucose.3.0_PADC_3",15.026,3457.68348733333,2010.54101107678,17.8,0.58,6,"Inf"
"sat/ortholatin-7.cnf","Maple_CM",11.494,3514.34427666667,1984.22499746572,12.87,0.58,4,"Inf"
"sat/ortholatin-7.cnf","expMC_LRB_VSIDS_Switch",14.331,3512.44958733333,2000.72949336922,17.64,0.58,3,"Inf"
"sat/ortholatin-7.cnf","Maple_LCM_M1",19.98,3351.37346466667,2166.67097934527,22.64,0.58,4,"Inf"
"sat/ortholatin-7.cnf","Minisat.v2.2.0.106.ge2dd095",105.738,3716.617741,1805.60982468734,129.61,0.58,3,"Inf"
"sat/ortholatin-7.cnf","Candy",25.219,3621.839413,1915.54666052888,30.77,0.58,7,"Inf"
"sat/ortholatin-7.cnf","Maple_LCM.BCrestart_M1",19.441,3459.33742933333,2080.90902648792,22.79,0.58,7,"Inf"
"sat/ortholatin-7.cnf","glucose.3.0_PADC_10",15.047,3601.14964966667,1960.04697361685,17.32,0.58,6,"Inf"
"sat/ortholatin-7.cnf","MapleCOMSPS_CHB_VSIDS_drup",5.735,3624.68049333333,1942.98241585106,6.77,0.58,1,"Inf"
"sat/ortholatin-7.cnf","Maple_CM_ordUIP",11.177,3465.275879,2165.86744745494,13.09,0.58,1,"Inf"
"sat/ortholatin-7.cnf","smallsat",53.585,3651.611809,2017.64150414434,62.55,0.58,2,"Inf"
"sat/ortholatin-7.cnf","expMC_LRB_VSIDS_Switch_2500",1314.207,3813.948727,1873.62442876141,1544.44,0.58,6,"Inf"
"sat/ortholatin-7.cnf","glucose4.2.1",22.009,3796.55479033333,1933.52536643513,27.37,0.58,5,"Inf"
"sat/ortholatin-7.cnf","abcdsat_r18",43.284,3744.30418666667,2027.93032866872,51.51,0.58,4,"Inf"
"sat/ortholatin-7.cnf","YalSAT",5000,4705.18770466667,1178.79414287739,5000,0.58,2,"Inf"
