"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_LCM_Scavel_fix2",206.744,105.770613636364,59.7736193971621,258.58,85.417,1,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_LCM_M1",217.451,116.385538939394,74.3807679595248,269.33,85.417,2,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","MapleLCMDistChronoBT",267.854,122.918294242424,84.2833035133189,328.46,85.417,3,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","cms55.main.all4fixed",167.692,136.13514969697,71.5953228256474,218.47,85.417,4,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_LCM.BCrestart",114.656,152.115094090909,117.027457528408,139.2,85.417,5,"139.2"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_CM_Dist",107.952,156.044540757576,113.674631223301,139.02,85.417,6,"139.02"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_CM",210.872,238.61311469697,109.61478743245,263.16,85.417,1,"428.704233033526"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_LCM.BCrestart_M1",275.084,180.475627121212,185.348251391316,336.67,85.417,7,"336.67"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","smallsat",1089.183,262.64097530303,113.759142179549,5000,85.417,5,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","expMC_LRB_VSIDS_Switch_2500",280.983,245.232496363636,170.895767146587,357.56,85.417,4,"565.290472522617"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","abcdsat_r18",85.417,243.024913030303,263.366645092001,103.48,85.417,2,"294.246306898919"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_LCM_Scavel_200_fix2",306.789,245.014794545455,294.472116372485,379.12,85.417,3,"586.321597755743"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","COMiniSatPS_Pulsar_drup",641.849,379.534565757576,219.994164931913,5000,85.417,7,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_CM_ordUIP.",282.111,458.99826,248.616555491396,362.64,85.417,2,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","MapleCOMSPS_LRB_VSIDS_drup",86.369,368.313561212121,364.895554190639,110.14,85.417,6,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","Maple_CM_ordUIP",295.084,507.242146666667,226.976040650252,364.52,85.417,3,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",164.879,387.861778484848,392.779888601294,210.49,85.417,1,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","expMC_LRB_VSIDS_Switch",427.281,526.583827727273,268.784528837738,594.54,85.417,4,"Inf"
"sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf","GHackCOMSPS_drup",452.462,981.300085909091,908.432361022606,612.15,85.417,5,"Inf"
